ARC | 1113 | Introduction to the Built Environment | P | C ARC 1214 ARC 1313 | Prerequisites: Completion of or concurrent enrollment in ARC 1214 and ARC 1313. | An introduction to the design and construction of the built environment. Includes consideration of professional practice, ethics, interior design, landscape architecture, planning, urbanism and construction. May be applied toward the core curriculum requirement in Language, Philosophy and Culture. (Formerly COA 1113. Credit cannot be earned for both ARC 1113 and COA 1113.).
ARC | 1133 | Construction Material and Concepts | P | C | | Introduction to concepts and skills fundamental to structure, construction, building enclosure, sustainability, and interior environments. Analysis and selection of materials, components, and assemblies. Introduction to the historic role of materials in architectural and interior design. (Formerly ARC 2213 and COA 1133. Credit cannot be earned for ARC 1133 and either ARC 2213 or COA 1133.).
ARC | 1151 | Introduction to Architecture and Design | P | C | | A lecture course introducing ideas and concepts associated with architectural and interior design.
ARC | 1214 | Design I | P | C | | Introduction to design through a focus on design literacy and the creative conceptualization of issues fundamental to the design of human environments. Emphasis on the realization and experience of architectural ideas in materials. May be applied toward the core curriculum requirement in Creative Arts. (Formerly ARC 1213 and COA 1213. Credit cannot be earned for more than one of the following: ARC 1214, ARC 1213, and COA 1213.).
ARC | 1223 | Design II | P ARC 1214 ARC 1313 | C | Prerequisites: ARC 1214 and ARC 1313. | Introduction to design as a broadly creative process based on consideration of spatial experience, context, program, building form, representation, and design communication. (Formerly ARC 1226 and COA 1223. Credit cannot be earned for ARC 1223 and either ARC 1226 or COA 1223.).
ARC | 1313 | Design Visualization | P | C ARC 1113 ARC 1214 | Prerequisites: Completion of or concurrent enrollment in ARC 1113 and ARC 1214. | Introductory exploration of graphic processes and techniques utilized in the design and construction of the built environment for the representation, visualization, analysis, and presentation of the designed environment. Completion of or concurrent enrollment in this course is required in order to take COA 1213. (Formerly COA 1313. Credit cannot be earned for both ARC 1313 and COA 1313.).
ARC | 1413 | Architecture and Culture | P | C | | Introduces architecture by exploring its relation to culture and the dynamic interrelationship between humans and the environment. May be applied toward the core curriculum requirement in Language, Philosophy and Culture.
ARC | 1513 | Great Buildings and Cities of the World | P | C | | Introducing buildings and places that exemplify timeless architectural concepts and design strategies considered enduring contributions to the cultural heritage of the world. Examples from Africa, Asia, Europe, and the Americas are presented within the context of diverse cultures and express a variety of different aesthetic, political, and religious values. The course draws from diverse sources from high culture and vernacular sources span from antiquity to the present. May be applied toward the core curriculum requirement in Creative Arts.
ARC | 2133 | Principles of Architectural Structures | P | C | Prerequisite: Enrollment as an ARC or IDE major. | An introduction to the principles of architectural structures as related to architectural design. Includes consideration of spatial, structural, and aesthetic issues of building structural systems, and introduces structural behavior, forces and responses in structural systems.
ARC | 2156 | Drawing and Modeling Studio | P | C | Prerequisite: Enrollment as an ARC or IDE major. | Architectural design through the agency of model building and drawing. Course content includes the development of design skills for the conceptualization and informed design of buildings.
ARC | 2166 | Digital Design Studio | P | C | Prerequisites: Enrollment as an ARC or IDE major. | Architectural design through the agency of digital design media.  Course content includes the development of design skills for the conceptualization and informed design of buildings.
ARC | 2233 | Principles of Environmental Systems | P | C | Prerequisite: Enrollment as an ARC or IDE major. | Introduction to the design of environmentally responsive buildings and the natural and artificial systems that support them. Includes consideration of topics such as, embodied energy, active and passive heating and cooling, indoor air quality, solar orientation, daylighting and artificial illumination, acoustics, and building services systems.
ARC | 2413 | History of Architecture I | P | C | | Introduction to the history of architecture, urbanism, and material culture from prehistory to the 15th century. Explores the varied ways in which architecture reflects and shapes social, religious, and political concerns in the Western and non-Western world.
ARC | 2423 | History of Architecture II | P | C | | Introduction to the history of architecture, urbanism, and material culture from the 15th to the 20th century. Explores the varied ways in which architecture reflects and shapes social, religious, and political concerns in the Western and non-Western world.
ARC | 2513 | Digital Design Media | P | C | Prerequisite: Enrollment as an ARC or IDE major or consent of instructor. | Introduction to 2-dimensional and 3-dimensional digital design media. Addresses design skills, principles, techniques, procedures, and knowledge of how digital media impacts the design process, profession, and design culture.
ARC | 3113 | Advanced Design Visualization | P | C | Prerequisite: Enrollment as an Architecture or an Interior Design major or permission of instructor. | Advanced exploration of graphic processes and techniques utilized in the design and construction of built environment for the representation, analysis, visualization, and/or presentation of the designed environment. May be repeated for credit when topics vary.
ARC | 3203 | Housing Planning | P | C | Prerequisite: Enrollment as an ARC or IDE major or consent of instructor. | Survey of the evolution of housing design, planning and development that encompasses the design, location, organization, and financing of housing and community development programs and the capital and labor markets that impact such development at the local level.
ARC | 3433 | Topics in Architecture and Thought | P | C | Prerequisite: Enrollment as an Architecture or Interior Design major or consent of instructor. | A lecture/seminar course that provides students the opportunity to explore a variety of architectural ideas, concepts, theories, approaches, or topics related to architectural design. May be repeated for credit when topics vary.
ARC | 3553 | Introduction to Architectural Theory | P | C | Prerequisite: Enrollment as an ARC or IDE major or consent of instructor. | A lecture/seminar course introducing theories that inform architectural design.
ARC | 3613 | History of Modern Architecture | P WRC 1013 WRC 1023 | C | Prerequisites: WRC 1013 and WRC 1023. | Study of the social, aesthetic, theoretical, technical, cultural, and professional forces that form, shape, and communicate modern architecture. Completion of ARC 2413 and ARC 2423 is recommended for Architecture and Interior Design majors.
ARC | 4143 | Architecture Topics | P ARC 2156 ARC 2166 | C | Prerequisites: ARC 2156 and ARC 2166 or consent of instructor. | A course exploring issues in architecture. May be repeated for credit when topics vary.
ARC | 4153 | Topics in International Architecture | P ARC 2156 ARC 2166 | C | Prerequisites: ARC 2156 and ARC 2166 or consent of instructor. | An examination of current international trends and issues in architecture and urbanism. May be repeated for credit when topics vary.
ARC | 4156 | Building Design Studio | P ARC 2133 ARC 2156 ARC 2166 ARC 2233 | C | Prerequisites: ARC 2133, ARC 2156, ARC 2166, and ARC 2233. | Architectural design with emphasis on building technology, materials, assemblies, tectonics, structure, environmental systems, and the inter-relationship of building and environment. Course may be repeated for credit. No more than 24 credit hours of ARC 4156 may count towards the degree.
ARC | 4183 | Environmental Systems | P ARC 2156 ARC 2166 ARC 2233 | C | Prerequisites: ARC 2156, ARC 2166, and ARC 2233. | Advanced issues in the design of environmentally responsive buildings and the natural and artificial systems that support them, such as embodied energy, active and passive heating and cooling, indoor air quality, solar orientation, daylighting and artificial illumination, acoustics, and building services systems. Includes the use of appropriate performance assessment tools.
ARC | 4213 | Furniture Design and Construction | P ARC 2156 ARC 2166 | C | Prerequisite: ARC 2156, ARC 2166, or consent of instructor. | Focuses on essential elements of furniture design and construction, emphasizing relations to architectural space, human factors, and the use of materials, connections, and finishes.
