CSM | 2113 | Construction Materials and Methods | P | C | Prerequisite: Enrollment as an Architecture, Interior Design, or Construction Science and Management major or permission of instructor. | Introduction to materials, methods, equipment and sequences of the construction process including structural elements, components, and assemblies.
CSM | 2143 | Construction Materials and Testing | P CSM 2113 PHY 1603 | C | Prerequisites: CSM 2113, PHY 1603, and enrollment as a Construction Science and Management major or permission of instructor. | Analysis of materials and methods used in the design and construction process with a particular emphasis on quality control, quality assurance, and testing including soils, concrete, steel, masonry, and wood.
CSM | 2323 | Construction Documents | P | C | Prerequisite: Enrollment as a Construction Science and Management major or permission of instructor. | Introduction to construction documents and applicable software for use in communicating building design intentions to field personnel, including an understanding of how to interpret, explain, quantify and use construction documents to bid, construct and manage construction projects.
CSM | 2333 | Construction Culture and History | P | C | | History of construction and building technologies in Western and non-Western cultures. Emphasis on work traditions, graphical illustrations, social and political concerns.
CSM | 3011 | Construction Industry Contemporary Issues | P | C | Prerequisite: Enrollment as a Construction Science and Management major or permission of instructor. | Exploration of various professional options and specialties across the construction industry, professional ethics and introduction to professional societies. Must be taken on a credit/no-credit basis.
CSM | 3113 | Construction Surveying | P | C | Prerequisite: Enrollment as a Construction Science and Management major or permission of instructor. | Practical applications of surveying, including distance, grade and angular measurements, surveying equipment and its application to construction layout and control, surveying documentation and field work. (Formerly CSM 3111. Credit Cannot be earned for both CSM 3113 and CSM 3111.).
CSM | 3123 | Technical Communication | P MAT 1033 MAT 1073 | C | Prerequisites: MAT 1033 or MAT 1073 and enrollment as a Construction Science and Management major or permission of instructor. | Visualization, interpretation and communication of graphical geometry in construction design and engineering; graphical analysis of problems; plan reading; computer aided design, and fundamentals of information modeling software; introduction to common quantitative tools in construction.
CSM | 3143 | Structures I | P PHY 1603 | C | Prerequisites: PHY 1603 and enrollment as a Construction Science and Management major or permission of instructor. | Introduction to the physical principles that govern classical statics and strengths of materials through the design of concrete, timber, and steel components of structures.
CSM | 3621 | Construction Safety I | P | C | Prerequisite: Enrollment as a Construction Science and Management major or permission of instructor. | Introduction to safety and safety programs, workers’ compensation, OSHA organization and structure, safety policies, standards, and record keeping. Emphasis on communication and job-site safety ethics and management.
CSM | 4013 | Construction Estimating I | P CSM 2113 CSM 3123 | C | Prerequisites: CSM 2113 and CSM 3123. | Introduction to estimating procedures for buildings related to quantity surveying, cost of materials and labor, life-cycle costs, and applicable software. (Formerly ARC 4013. Credit cannot be earned for both CSM 4013 and ARC 4013.).
CSM | 4023 | Construction Estimating II | P CSM 2143 CSM 4013 | C | Prerequisites: CSM 2143 and CSM 4013. | Continuation of CSM 4013 with emphasis on pricing work, subcontracting, and bidding strategies utilizing applicable software. (Formerly ARC 4023. Credit cannot be earned for both CSM 4023 and ARC 4023.).
