ACC | 2003 | Foundations of Accounting | P | C | | A study of accounting as the language of business. The focus is on the use of accounting information for decision making. This course is designed for nonbusiness majors and cannot be applied toward a degree in the College of Business.
ACC | 2013 | Principles of Accounting I | P | C | | An introduction to business external financial reporting designed to create an awareness of the accounting concepts and principles used in preparing the three basic financial statements: the income statement, balance sheet, and statement of cash flow. The course is designed for all business students, whether future users or preparers of accounting information.
ACC | 2033 | Principles of Accounting II | P ACC 2013 | C | Prerequisite: ACC 2013. | An introduction to the determination, development, and uses of internal accounting information needed by business management to satisfy customers while controlling and containing costs. The course is designed for all business students, whether future users or preparers of accounting information.
ACC | 3023 | Intermediate Accounting I | P ACC 2013 ACC 2033 | C | Prerequisites: A grade of “C-” or better in both ACC 2013 and ACC 2033, successful completion of the Principles of Accounting Competency Exam (refer to Department of Accounting website), and declared major in the College of Business or approval of Department Chair and Dean of the College. | An in-depth study of promulgated accounting theory and concepts with an emphasis on corporate financial accounting and reporting, with a focus on U.S. GAAP, and exposure to International Financial Reporting Standards (IFRS).
ACC | 3033 | Intermediate Accounting II | P ACC 3023 | C | Prerequisites: A grade of “C-” or better in ACC 3023 and declared accounting major or approval of Department Chair and Dean of the College. | A continuation of the in-depth study of promulgated accounting theory and concepts with an emphasis on corporate financial accounting and reporting, with a focus on U.S. GAAP, and exposure to International Financial Reporting Standards (IFRS).
ACC | 3043 | Federal Income Taxation | P ACC 3023 | C | Prerequisites: A grade of “C-” or better in ACC 3023 and declared accounting major or approval of Department Chair and Dean of the College. | A conceptual introduction to the U.S. federal income tax system. Concepts include gross income, statutory deductions, property transactions, and computation of tax liabilities.
ACC | 3053 | Intermediate Accounting for Finance Majors | P ACC 2013 ACC 2033 | C | Prerequisites: A grade of “C-” or better in ACC 2013 and ACC 2033. | An intermediate accounting course with emphasis on interpretation of general-purpose financial statements and the related disclosure notes as they apply to credit analysis and other aspects of corporate finance. Common and significant accounts/transactions will be analyzed, especially those relating to the financing and equity sections of the financial statements.  This course cannot be applied toward an accounting major.  This course does not satisfy any of the educational requirements of the Texas State Board of Public Accountancy for qualification to sit for the Uniform Certified Public Accounting Examination.
ACC | 3113 | Accounting Information Systems | P ACC 2033 IS 3003 | C | Prerequisites: ACC 2033 with a grade of “C-” or better, IS 3003, and declared accounting major or approval of Department Chair and Dean of the College. | A study of database management systems as they relate to the accounting function. Topics include database design and applications that focus on accounting, including the entity-relationship model, data modeling, object-oriented design, and database management.
ACC | 3123 | Cost Analysis | P ACC 2033 | C | Prerequisites: A grade of “C-” or better in ACC 2033 and declared accounting major or approval of Department Chair and Dean of the College. | A study of internal accounting information generation with an emphasis on cost accounting tools to develop, implement, and evaluate strategy; cost accounting methods to determine product cost; and cost management concepts and procedures for making business decisions.
ACC | 4013 | Principles of Auditing | P ACC 3033 ACC 3113 | C | Prerequisites: A grade of “C-” or better in both ACC 3033 and ACC 3113, and declared accounting major or approval of Department Chair and Dean of the College. | A study of the topic of auditing oriented toward primarily the financial auditing standpoint. The course focuses on the concepts and procedures of auditing applied to the audit of financial statements in accordance with the standards established by the Auditing Standards Board or the Public Company Accounting Oversight Board. Topics also covered include professional ethics, accounting and review services, and the public accounting profession.
ACC | 4103 | Business Process Management and Control | P ACC 3113 IS 3003 | C | Prerequisites: ACC 3113 with a grade of “C-” or better and IS 3003. | A study of business processes that support an organization and how they are controlled. This course contributes to the student’s understanding of how key business processes are managed, controlled and integrated in enterprise resource planning systems. SAP will be used to illustrate the concepts discussed in the class. (Same as IS 4103. Credit cannot be earned for both ACC 4103 and IS 4103.).
