ECO | 2003 | Economic Principles and Issues | P | C | | A nontechnical introduction to economic concepts such as scarcity, costs and benefits, supply and demand, trade, employment, and growth, with applications to current economic issues and policies. May not be counted toward a major in economics, but may be counted as a free elective for College of Business students. May be applied toward the core curriculum requirement in Social and Behavioral Sciences. (Formerly titled “Introduction to Political Economy.”).
ECO | 2013 | Introductory Macroeconomics | P | C | Prerequisite: Placement into a college-level mathematics course. | Economic analysis at the national level, including the determination of aggregate income and employment, operation of the domestic and international monetary systems, short-term income fluctuations, and long-term economic growth. May be applied toward the core curriculum requirement in Social and Behavioral Sciences.
ECO | 2023 | Introductory Microeconomics | P | C | Prerequisite: Placement into a college-level mathematics course. | An introduction to the economic theory of decision making by consumers and business firms; an analysis of the domestic and international market systems and their roles in allocating goods and services; and problems of market failure. May be applied toward the core curriculum requirement in Social and Behavioral Sciences.
ECO | 3013 | Intermediate Microeconomics | P ECO 2013 ECO 2023 MAT 1033 | C | Prerequisites: Completion of ECO 2013, ECO 2023, and MAT 1033, or their equivalents, with a grade of “C-” or better. | The study of price determination in and the welfare implications of various market structures through the development of the preference theory of consumer behavior and the profit maximization theory of producer behavior.  The role and welfare impact of externalities and of government intervention are also examined. (Formerly titled “Theory of Price.”).
ECO | 3033 | Economics of Managerial Decisions | P ECO 2013 ECO 2023 MAT 1033 | C | Prerequisites: Completion of ECO 2013, ECO 2023, and MAT 1033, or their equivalents, with a grade of “C-” or better. | Managerial economic decisions in firms and related entities. Topics include demand analysis, least-cost production, profit strategy, the influence of various market structures on the firm, advanced issues in pricing, and the impact of the international sector.
ECO | 3053 | Intermediate Macroeconomics | P ECO 2013 ECO 2023 | C | Prerequisites: Completion of ECO 2013 and ECO 2023, or their equivalents, with a grade of “C-” or better. | Analysis of the measurement, determination, and control of aggregate economic activity such as national income, output, employment, interest rates, the price level, and exchange rates. The roles of monetary and fiscal policy and their relation to income and employment, short-term income fluctuations, and long-term growth are also explored.  (Formerly titled “Aggregate Economics”).
ECO | 3113 | Introduction to Mathematical Economics | P ECO 2013 ECO 2023 MAT 1033 | C | Prerequisites: Completion of ECO 2013, ECO 2023, and MAT 1033, or their equivalents, with a grade of “C-” or better, or consent of instructor, Department Chair, and Dean of the College. | Systematic approach to economic analysis using basic mathematical tools; treatment of optimizing behavior with applications to consumer and business firms; emphasis on understanding and application of analytical techniques.
ECO | 3123 | Introduction to Econometrics and Business Forecasting | P MAT 1033 STA 1053 MS 1023 | C | Prerequisites: Completion of  MAT 1033, and STA 1053 or MS 1023, or their equivalents, with a grade of “C-” or better, or consent of instructor, Department Chair, and Dean of the College. | Measurement in economics and business that strives to mix the development of technique with its application to economic analysis. Major topics include the nature of economic and business data, specific forms of modeling and forecasting, and the use of microcomputer programs in econometric modeling and forecasting.
ECO | 3163 | Evolution of Economic Thought | P ECO 2003 ECO 2013 ECO 2023 | C | Prerequisite: Completion of one of the following: ECO 2003, ECO 2013, ECO 2023, or the equivalent, with a grade of “C-” or better, or consent of instructor, Department Chair, and Dean of the College. | Development of economic theories, models, and schools of thought from the birth of market economies to the present, with an emphasis on the historical, institutional, and social forces shaping economic thinking and public policy.
ECO | 3183 | Economic History of the United States | P ECO 2003 ECO 2013 ECO 2023 | C | Prerequisite: Completion of one of the following: ECO 2003, ECO 2013, ECO 2023, or the equivalent, with a grade of “C-” or better, or consent of instructor, Department Chair, and Dean of the College. | The growth and development of the American economy from colonial times to the present; emphasis on applying a variety of economic concepts to a topical study of the economic forces that shaped the country’s history.
ECO | 3193 | International Economics | P ECO 2003 ECO 2013 ECO 2023 | C | Prerequisite: Completion of one of the following: ECO 2003, ECO 2013, ECO 2023, or the equivalent, with a grade of “C-” or better, or consent of instructor, Department Chair, and Dean of the College. | Principles of international trade; significance of geographic, economic, social, and political influences; current problems in international trade and payments; tariffs and commercial policy; and the role of international organizations. (Formerly titled “The International Economy.”).
ECO | 3213 | Economics of Antitrust and Regulation | P ECO 2003 ECO 2013 ECO 2023 | C | Prerequisite: Completion of one of the following: ECO 2003, ECO 2013, ECO 2023, or the equivalent, with a grade of “C-” or better, or consent of instructor, Department Chair, and Dean of the College. | Theory and practice of governmental regulation, deregulation, and privatization; economic, legal, and ethical concerns regarding private-sector output; and pricing as influenced by public policy and marketing structure.
