FM | 4233 | Sport and Event Facility Management | P MGT 3003 MGT 3013 | C | Prerequisites: MGT 3003 and MGT 3013. | This course provides an overview of managing a facility used for sports, conventions, and entertainment events. Some of the topics are conducting feasibility studies, market research, facility design and layout, event bidding, quality assurance, risk management, and event staffing. Real Estate Finance and Development majors cannot take SET 4233 for the degree requirements but can take FM 4233. (Same as SET 4233. Credit cannot be earned for both FM 4233 and SET 4233.).
FM | 4303 | Facility and Property Management Policies and Procedures | P MGT 3003 MGT 3013 | C | Prerequisites: MGT 3003 and MGT 3013. | The implementation of professional policies, standards, practices, and procedures for the leasing, operation and maintenance of facilities. Topics include the facility management profession, leasing, and the acquisition, installation, operation, maintenance and disposition of building systems, furniture and fixtures, and grounds and exterior elements. (Formerly MGT 4303 and RFD 4303. Credit cannot be earned for FM 4303 and either MGT 4303 or RFD 4303.).
FM | 4313 | Facility and Property Management Practices | P MGT 3003 MGT 3013 | C | Prerequisites: MGT 3003 and MGT 3013. | The application of management practices to the operation of facilities. Topics include the study of human and environmental factors, building safety, building audits, building technology, emergency preparedness, the use and changing uses of facilities, and continuous quality improvement. (Formerly MGT 4313 and RFD 4313. Credit cannot be earned for FM 4313 and either MGT 4313 or RFD 4313.).
FIN | 3003 | Survey of Finance | P ACC 2003 ACC 2013 | C | Prerequisite: ACC 2003 or ACC 2013 or the equivalent. | A basic survey course focusing on three aspects of finance: the financial system, corporate finance, and investments. The financial environment will be described along with how the financial system interacts with the economy. Business decisions, efficient allocation of financial resources, and fundamentals of investment will be introduced. This course may not be applied toward a major or a minor in finance.
FIN | 3014 | Principles of Business Finance | P MAT 1033 MS 1023 ACC 2013 ECO 2013 | C ACC 2033 | Prerequisites: MAT 1033, MS 1023, ACC 2013, and ECO 2013 or their equivalents. Completion or concurrent enrollment in ACC 2033. | Introduction to financial management techniques. Topics may include time value of money, valuation of stocks and bonds, risk and return, capital budgeting analysis, financing alternatives, financial planning, ratio analysis, short-term financial decisions, working capital, sources and uses of funds, capital structure, dividend policy, lease analysis, options, international financial management, and other topics associated with successful business finance decisions in an internationally competitive environment. One-hour laboratory included. (Formerly FIN 3013. Credit cannot be earned for both FIN 3014 and FIN 3013.).
FIN | 3023 | Intermediate Corporate Finance | P FIN 3014 | C ACC 3023 ACC 3053 | Prerequisites: FIN 3014, or the equivalent, with a grade of “C-” or better and successful completion of the Finance Assessment of Competency Test (FACT). Completion or concurrent enrollment in ACC 3023 or ACC 3053. | Advanced discussion of subjects essential to corporate financial management, including short-term credit policies, capital budgeting, risk, sources of long-term funds, financial leverage, and the cost of capital. Special topics such as mergers, bankruptcy, and reorganization may also be considered.
FIN | 3033 | Principles of Investment | P FIN 3014 | C | Prerequisite: FIN 3014, or the equivalent, with a grade of “C-” or better. | Introduction to securities markets; analysis of money market instruments, mutual funds, stocks, bonds, options, futures, and other securities; investment management in the light of tax considerations, timing, and selected portfolio needs.
FIN | 3313 | Money and Banking | P ECO 2013 | C | Prerequisite: ECO 2013 or the equivalent. | Elements of monetary theory; relationships between money, prices, production, and employment; factors determining money supply; and operation of capital markets with reference to the United States.
FIN | 3413 | Introduction to Financial Markets | P FIN 3313 | C | Prerequisite: FIN 3313 or the equivalent. | This course addresses the development of financial markets and market pricing of debt, equity, and foreign exchange. Special emphasis is placed on current and historical events to discuss these topics.
FIN | 3423 | Security Analysis | P FIN 3033 | C | Prerequisite: FIN 3033 or the equivalent. | Advanced financial analysis; examination of statements and supplementary data of industrial, commercial, financial intermediary, and public enterprises; preparation of reports relevant to achieving an understanding of financial management policies.
FIN | 3433 | Principles of Real Estate | P | C | | General introduction to the subject matter and terminology of real estate as a business and profession; federal, state, and local laws governing housing discrimination, equal credit opportunity, and community reinvestment.
