IS | 1022 | Programming and Formal Logic | P | C | | An introduction to the elements of modern formal logic and program semantics. Modern formal logic uses symbolic techniques for an analysis of validity, and related notations such as grammatical form and truth. This course addresses logical notations (syntax) and how to assign meaning to them (semantics), which are essential for an understanding of many aspects of contemporary philosophy, mathematics, and informal processing. (Formerly IS 1023. Credit cannot be earned for both IS 1022 and IS 1023.).
IS | 1403 | Business Information Systems Fluency | P | C | | Required course for all students majoring in Business at UTSA. This three-unit course concentrates on a set of core computing skills that are essential to student success, such as using e-mail, word processing, spreadsheets, basic data management, presentation software and on- and off-campus Internet resources. This is a Web-based course. Instructions and exams are accomplished through the use of a computer.
IS | 1503 | Introduction to Cyber Security | P | C | | An introduction to the principles and best practices for cyber security. This course addresses the fundamental aspects of computer and network security. Issues concerning home computer security, internet security, privacy, viruses and worms, spam, and ethics will be included in this course. Public Component software will be used to illustrate the principles discussed in the class.
IS | 2033 | Introduction to Programming Concepts | P IS 1403 | C IS 2031 | Prerequisites: IS 1403 with a grade of &quot;C-&quot;or better and concurrent enrollment in IS 2031. | An introduction to programming with an object-oriented language. Addresses basic elements of OOP (object-oriented programming), including control structures, classes and objects, class behavior, arrays, GUIs (graphical user interfaces), file input/output, exception handling, and object-oriented design. (Formerly titled “Introduction to Computer Concepts for Information Systems.”).
IS | 2043 | Intermediate Object-Oriented Programming | P IS 2031 IS 2033 | C IS 2041 | Prerequisites: IS 2031 and IS 2033 with a grade of “C-” or better and concurrent enrollment in IS 2041. | An object-oriented programming course designed to enforce introductory object-oriented principles learned in IS 2033 and focus on concepts including exception handling, data structures, searching and sorting, recursion, generic collections, file processing, and GUIs (graphical user interfaces). An object-oriented language like Java will be used to develop applications using these concepts. (Formerly titled “Data Structures and File Processing.”).
IS | 3003 | Principles of Information Systems for Management | P IS 1403 | C | Prerequisite: IS 1403 with a grade of &quot;C-&quot; or better. | An analysis of managerial/organizational information needs. Systematic procedures for developing information systems are covered. Includes coverage of hardware and software tools, information structures, and formal problem-solving techniques. Issues related to organizational controls, security, and globalization as a result of changing technologies are discussed. Cases will be assigned to illustrate the use of specific tools and techniques for problem solving.
IS | 3033 | Operating Systems | P IS 2041 IS 2043 | C | Prerequisites: IS 2041 and IS 2043 with a grade of &quot;C-&quot; or better, or consent of instructor, Department Chair, and Dean of the College. | This course examines the role of computer operating systems in the overall vulnerability of the network. A comparison of the more popular operating systems will be used to illustrate the concepts to the class.
IS | 3043 | Mobile Application Development | P IS 2041 IS 2043 | C | Prerequisites: IS 2041 and IS 2043 with a grade of “C-&quot; or better. | As mobile devices such as smartphones and tablets become ubiquitous, the demand for developers who specialize in mobile technology also surges. This course will cover the fundamental design principles, programming techniques, and user experience considerations underlying mobile apps and their development environments. To bring these concepts alive, the course will involve hands-on examples from popular mobile platforms such as Android, iOS, and Windows Phone.  Students will complete projects that focus on building real-world mobile apps on these platforms and learn how to take their mobile apps to market.
IS | 3063 | Database Management for Information Systems | P IS 2041 IS 2043 | C | Prerequisites: IS 2041 and IS 2043 with a grade of &quot;C-&quot; or better. | A study of database management systems (DBMS) features, functions, and architecture, including logical design, data models, normalization, object-oriented data, and database administration. A DBMS product will be used to illustrate principles.
IS | 3073 | Application Development | P IS 2041 IS 2043 | C | Prerequisites: IS 2041 and IS 2043 with a grade of &quot;C-&quot; or better. | A study of the use of information systems techniques to solve managerial problems. Includes cases where students are asked to design and implement information systems that address various classes of analytic problems. Principles of decision theory are addressed.
IS | 3413 | Introduction to Telecommunications for Business | P | C | | Includes an in-depth look at basic telecommunications terminology and concepts. Introduction to voice and data networks, signaling and multiplexing. Network topologies and protocol fundamentals and architectures are presented and compared. TCP/IP protocols are introduced. Network security fundamentals are explored.
IS | 3423 | Network Security | P IS 3413 | C | Prerequisite: IS 3413 with a grade of &quot;C-&quot; or better or consent of instructor, Department Chair, and Dean of the College. | The course provides a foundation in networking technologies that are core to creating secure networks. Topics included in this course are basic cryptography, secure networking protocols, logical and physical security management and security devices. Relation between these technologies and operational and implementation issues for these technologies will also be discussed. (Formerly titled “Secure Network Design.”).
IS | 3433 | Introduction to Digital Forensics | P | C | | The digital forensic investigation process involves organizational preparation, incident response, data collection, data analysis, and communication of findings. This course will teach students how to prepare for incidents, how to respond to incidents, and how to reliably collect digital data. Students will be introduced to various types of storage media and sources of volatile data. Students will also be introduced to fundamental legal issues related to digital forensics.
IS | 3453 | Networking Fundamentals | P IS 3413 | C | Prerequisite: IS 3413 with a grade of &quot;C-&quot; or better or consent of instructor, Department Chair, and Dean of the College. | This course will focus on the principles of telecommunication with particular emphasis on networking. Networking and transmission protocols will be emphasized. Both IPv4 and IPv6 will be included. This class will also include the hardware side of the network. The role of servers, switches and routers will be included. Security will be introduced.
IS | 3503 | Attack and Defend  | P | C | | An introduction to information assurance. This survey course will present common ways that hackers attack a network and how to defend against the attacks. It will also include related subjects such as how to protect data, encryption, physical security, and hiding data. The course is a “hands-on” class and students will gain experience with readily available software packages. This course is intended for non-Cyber Security majors. Information Systems and Cyber Security majors cannot use IS 3503 toward their degree requirements. (Same as ACC 3503. Credit cannot be earned for both ACC 3503 and IS 3503.).
IS | 3513 | Information Assurance and Security | P | C | | This course provides an in-depth presentation of information assurance topics such as fraud, eavesdropping, traffic analysis, intrusion detection and prevention, hacking, viruses, and cryptography. Risk management will also be discussed. (Formerly IS 4453. Credit cannot be earned for both IS 3513 and IS 4453.).
IS | 3523 | Intrusion Detection and Incident Response | P IS 3513 | C | Prerequisite: IS 3513 with a grade of &quot;C-&quot; or better. | This course provides an in-depth look at intrusion detection methodologies and tools and the approaches to handling intrusions when they occur; examines the laws that address cybercrime and intellectual property issues; and includes a study of proper computer and network forensics procedures to aid in the identification and tracking of intruders and in the potential prosecution of criminal activity.
IS | 3533 | Cyber Law | P | C | | An introductory course in laws and legal issues that affect law enforcement, businesses, and investigators related to the preservation, collection, and analysis of digital data. Students will examine computer crime laws, civil and criminal laws that often involve electronic evidence, search and seizure of electronic evidence, judicial issues involving the admissibility of electronic evidence and related testimony, and legal issues involved with electronic surveillance.
IS | 4033 | Network Operations | P IS 3453 | C | Prerequisite: IS 3453 with a grade of &quot;C-&quot; or better or consent of instructor, Department Chair, and Dean of the College. | The course will explore the fundamentals of operating a network. Issues to be included are physical security, electrical and air conditioning issues, data storage and retention, and backup and redundancy of data. Other topics include floor loading, patch management, converting user requirements to system requirements and disaster recovery.
IS | 4053 | Systems Analysis and Design | P IS 3063 MGT 3003 | C | Prerequisites: IS 3063 with a grade of &quot;C-&quot; or better and MGT 3003. | An introduction to systems theory and development techniques. Topics include problem definition, system development life cycle, feasibility analyses, project management, system models and CASE tools.
IS | 4063 | Advanced Topics in Information Systems | P MGT 3003 IS 1403 | C | Prerequisites: MGT 3003 and 15 semester credit hours of information systems courses (excluding IS 1403 and IS 3003). | Survey of recent developments in information technology. Analysis will focus on applications in the business community and theoretical developments that relate to those applications. Ordinarily taken during semester of graduation.
IS | 4073 | The Information Resource | P IS 3003 MGT 3003 MGT 3013 | C | Prerequisites: IS 3003 with a grade of &quot;C-&quot; or better, MGT 3003, and MGT 3013. | A study of the principles and concepts involved in the management of organizational information systems resources. Topics include project control, CIO functions, information systems planning, and strategic impact of information systems, multinational organizations, and relevant legal, professional, and ethical issues.
IS | 4103 | Business Process Management and Control | P IS 3003 | C | Prerequisite: IS 3003. | Business professionals are frequently responsible for designing, implementing, supporting and managing technology-based business processes in organizations. In order to accomplish those tasks, these professionals must understand the business processes that support an organization and how they are controlled. This course contributes to the student's understanding of how key business processes are managed, controlled and integrated in enterprise resource planning systems. SAP will be used to illustrate the concepts discussed in the class. (Same as ACC 4103. Credit cannot be earned for both IS 4103 and ACC 4103.).
IS | 4143 | Wide Area Networks | P IS 3413 MGT 3003 | C | Prerequisites: IS 3413 with a grade of &quot;C-&quot; or better and MGT 3003 or consent of instructor, Department Chair, and Dean of the College. | This course explores the telecommunication technologies used in wide area networks. Technologies such as frame relay, ATM, TCP/IP, and voice over IP will be studied. The role of the common carriers will also be discussed. Secure network traffic over TCP/IP will be included.
IS | 4153 | Web Site Development | P IS 3073 MGT 3003 | C | Prerequisites: IS 3073 with a grade of &quot;C-&quot; or better and MGT 3003 or consent of instructor, Department Chair, and Dean of the College. | A study of issues related to the use of electronic networks to facilitate inter- and intra-organizational business activities. The principles of Web site design from the consumer and the information systems points of view will be presented. The course will also include the development of a Web site. (Formerly titled “Electronic Commerce.”).
IS | 4183 | Advanced Database Concepts | P IS 3063 MGT 3003 | C | Prerequisites: IS 3063 with a grade of &quot;C-&quot; or better and MGT 3003. | In-depth consideration of concepts governing the design and management of database systems. Topics include database design, distributed databases, database administration, object-oriented data modeling, and performance evaluation.
