ENT | 3123 | Innovation and Entrepreneurship | P ACC 2013 ECO 2013 ECO 2023 | C | Prerequisites: ACC 2013, ECO 2013, ECO 2023, and a declared major in the College of Business or approval of Department Chair and Dean of the College.  | Introduces students to entrepreneurship, its importance in society, and role in bringing new ideas to market. It also explores innovation and its role in creating value in business. Course provides an overview of the basic concepts of entrepreneurship focusing on the nature, environment, and risks of new business formation. Course includes focus on innovation and creativity, and introduces the business model canvas.
ENT | 4123 | Commercialization and Enterprise Planning | P MGT 3003 MGT 3013 | C | Prerequisites: MGT 3003, MGT 3013, and a declared major in the College of Business or approval of Department Chair and Dean of the College. | This course offers students a step-by-step instruction in how to develop a business plan for commercialization or enterprise development. The students will learn to present and defend their plan as Venture Capitalists would expect from a pitch. The course emphasizes the plan components, format, marketing and financial projections.
ENT | 4223 | Managing the Entrepreneurial Team | P MGT 3003 ENT 4123 | C | Prerequisites: MGT 3003, ENT 4123, and a declared major in the College of Business or approval of Department Chair and Dean of the College. | This course examines how to recruit, manage and lead an entrepreneurial team. Particular emphasis will be placed on improving students communications and collaboration skills in a cross-functional team context. Students will also explore evolving, collaborative approaches employed by companies to accelerate innovations by using customers, suppliers, partners and other organizations outside the four walls of a company.
ENT | 4523 | Microlending Entrepreneurial Startups | P | C | Prerequisite: Declared major in the College of Business or approval of Department Chair and Dean of the College. | This course focuses on access to capital in the United States as it relates to the financing of startups and the role microlending has played in this financing. Discusses the history of microlending in the entrepreneurship environment, the microlending industry, and factors leading to success or failure of microlenders.
ENT | 4623 | Tools and Objectives of the Social Enterprise | P | C | Prerequisite: Declared major in the College of Business or approval of Department Chair and Dean of the College. | This course investigates the distinctive characteristics of the social enterprise and social entrepreneurs. Examines the role of innovation, the for-profit and not-for-profit models of the social enterprise as well as the corporate structure known as the “B Corporation.�? Develops ability to evaluate, plan and manage a social enterprise.
ENT | 4723 | Essentials of Global Entrepreneurship | P | C | Prerequisite:  Declared major in the College of Business or approval of Department Chair and Dean of the College. | This course examines the importance of the entrepreneurial venture in a changing world; explores the economic, political, cultural and technological differences in operating a business in a global versus a domestic environment; and introduces the concepts related to emerging economy entrepreneurs.
ENT | 4873 | Entrepreneurship | P MGT 3003 ENT 4123 | C | Prerequisites: MGT 3003, ENT 4123, and a declared major in the College of Business or approval of Department Chair and Dean of the College. | Examines how and why entrepreneurs develop and/or grow a business as facilitated by the objectives and resources of the entrepreneur. Topics include differences between a commercial and social enterprise, developing a strategy formulation, and the development of a sustainable competitive advantage in global and social enterprise. (Formerly MGT 4873. Credit cannot be earned for both ENT 4873 and MGT 4873.).
ENT | 4883 | Small Business Management | P MKT 3013 ENT 4123 | C | Prerequisites: MKT 3013, ENT 4123, and a declared major in the College of Business or approval of Department Chair and Dean of the College. | Focuses on the startup and operation of small businesses. Examines the accounting, finance, management, and marketing functions as they pertain to entrepreneurial endeavors. Develops overall managerial awareness and analytical skills in small business problem solving. (Formerly MGT 4883. Credit cannot be earned for both ENT 4883 and MGT 4883.).
ENT | 4903 | Practicum in Small Business and Entrepreneurship | P ENT 4123 FIN 4333 ENT 4873 ENT 4883 | C | Prerequisites: ENT 4123, FIN 4333, ENT 4873, ENT 4883, a declared major in the College of Business and permission from the instructor. | This practicum will allow students to gain valuable experience. Drawing on the resources of the Colleges of Business and Engineering, local businesses, and entrepreneurs, the practicum provides students with the opportunity to examine real-world business problems, and thus gain insight into the challenges of starting a small business. Students will select from specific business problems or projects and participate in the Center for Innovation and Technology Entrepreneurship business plan competition. (Formerly MGT 4903. Credit cannot be earned for both ENT 4903 and MGT 4903.).
ENT | 4912 | Independent Study | P ENT 4873 | C | Prerequisites: ENT 4873, a 3.0 COB grade point average and permission in writing from the instructor, the Department Chair, and the Dean of the College of Business. See academic advisor for required forms. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree.
ENT | 4913 | Independent Study | P ENT 4873 | C | Prerequisites: ENT 4873, a 3.0 COB grade point average and permission in writing from the instructor, the Department Chair, and the Dean of the College of Business. See academic advisor for required forms. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree.
