BBL | 2003 | Language, Culture, and Society | P | C | | The interdisciplinary study of language in its cultural and social contexts, with emphasis on linguistically diverse communities. Topics include language and ethnicity, language and gender, language and social class, language acquisition, oral and written language, and language variation and change. May be applied toward the Core Curriculum requirement in Social and Behavioral Sciences.
BBL | 2023 | Latino Cultural Expressions | P | C | | An introductory overview of Hispanic visual, performing, and folk arts from their origins in the Iberian peninsula, through the later blending of cultures and their parallelism during revolutionary periods, to contemporary Latino expressions in the United States. (Same as MAS 2023. Credit cannot be earned for both BBL 2023 and MAS 2023.).
BBL | 2033 | Multiculturalism in the Southwest | P | C | | A panoramic study of the concept of culture and the social dynamics of exchange among those ethnic groups that determine the multicultural milieu of the Southwest. Examination of cultural differences and similarities among all peoples of the region and the role of multiculturalism in politics, education, economics, religion, and everyday life. (Same as MAS 2033. Credit Cannot be earned for both BBL 2033 and MAS 2033.).
BBL | 2243 | Globalizing the Local | P | C | | This course examines the interrelatedness among families, communities, and schools in supporting the achievement of Latina/o bilingual children. Taking a local approach to a global phenomenon—preparing bilingual/multilingual children in an increasingly interconnected world, this course explores how historical, political, and social factors influence access to a quality education. Issues pertaining to cultural transmission and maintenance of transnational ties will also be addressed. May be applied toward the Core Curriculum requirement in Social and Behavioral Sciences.
BBL | 3013 | Language Analysis and Bilingualism | P | C | | Survey of concepts in descriptive and contrastive linguistics; analysis of language contact phenomena, including cross-linguistic transfer, language alternation, and bilingualism. Offered in Spanish and English.
BBL | 3023 | Mexican American Culture | P | C | | A survey of Mexican American cultural distinctiveness in the areas of biculturalism, cultural production, and social organization. Topics may include family and kinship, folklore, health, language, music, and religion.
BBL | 3033 | Mexican Americans in the Southwest | P | C | | Historical foundations of the United States–Mexico biculturalism in the Southwest. An examination of the historical forces that created and shaped the Mexican American people as a bicultural community. Attention is given to Mexican American contributions in arts, economics, literature, and politics. (Same as MAS 3033. Credit cannot be earned for both BBL 3033 and MAS 3033.).
BBL | 3043 | Social Psychological Considerations in Mexican American Communities | P | C | | A cross-cultural and social psychological study of human development, interethnic communication, stereotyping, learning styles, or other topics relevant to the bicultural setting. (Same as MAS 3043. Credit cannot be earned for both BBL 3043 and MAS 3043.).
BBL | 3053 | Foundations of Bilingual Studies | P | C | | Investigation of the philosophies and theories of schooling in bilingual societies, with focus on language policy and the sociological, psychological, and legal aspects involved. A minimum of six hours of field experience is required. (Formerly BBL 4023. Credit cannot be earned for both BBL 3053 and BBL 4023.).
BBL | 3133 | Language Development in Bilinguals | P | C | | A study of bilingual language development in its social and cultural contexts. Emphasis on factors affecting successful bilingual language development in schools and communities.
BBL | 3143 | Children | P | C | | Designed to familiarize students with oral and written children’s literature in bilingual programs. Focus is on bilingual students’ affective, linguistic, and literacy needs through appropriate instruction with authentic literature. Emphasis on Mexican American cultural experiences as well as universal themes. Taught in Spanish and English. Field experience required.
BBL | 3403 | Cultural and Linguistic Diversity in a Pluralistic Society | P | C | | Examination of sociolinguistic and sociocultural principles central to culturally diverse settings, including the classroom. Topics include educational equity, segregated schooling, the achievement gap, hegemony, and social dominance theory. Various pedagogical practices will be explored to identify culturally inclusive responses. Fifteen hours of field experience are required. Field experience required.
BBL | 4003 | Spanish for Bilingual Instructional Delivery | P | C | | Designed to improve the Spanish proficiencies of bilingual classroom teachers. Study of the grammar, writing conventions, and vocabulary for effective communication and instructional delivery in a formal bilingual classroom setting. Taught in Spanish.
BBL | 4013 | Advanced Spanish for Bilingual Teaching and Learning | P BBL 4003 | C | Prerequisite: BBL 4003 or departmental permission. | Advanced study of formal academic Spanish for future bilingual educators. Extensive practice in reading and creating authentic didactic materials, instructional delivery, and effective communication with Spanish-speaking parents and community members. Taught in Spanish.
BBL | 4033 | Assessment, Learning, and Motivation in Bicultural-Bilingual Classrooms | P BBL 3053 RDG 3823 BBL 4063 BBL 4073 BBL 4403 BBL 4063 BBL 4073 | C BBL 3053 RDG 3823 BBL 4063 BBL 4073 BBL 4403 BBL 4063 BBL 4073 | Prerequisites: Admission to a Bilingual Generalist Teacher Certification Program; BBL 3053, RDG 3823, and successful completion of the ALPS (Assessment of Language Proficiency in Spanish) sequence. Must be taken concurrently with BBL 4063, BBL 4073, and BBL 4403 for Bilingual Generalist EC–6 Teacher Certification majors. Must be taken concurrently with BBL 4063 and BBL 4073 for Bilingual Generalist 4–8 Teacher Certification majors. | A survey of learning and motivation theory and examination of evaluation and assessment procedures in bicultural-bilingual settings, including formal and informal assessment of language proficiency and learning for instructional purposes. The appropriate use of standardized tests with language minority populations will be included. Field experience is required. Taught in Spanish and English.
BBL | 4063 | Bilingual Approaches to Content-Based Learning | P BBL 3053 RDG 3823 BBL 4033 BBL 4073 BBL 4403 BBL 4033 BBL 4073 | C BBL 3053 RDG 3823 BBL 4033 BBL 4073 BBL 4403 BBL 4033 BBL 4073 | Prerequisites: Admission to a Bilingual Generalist Teacher Certification Program; BBL 3053, RDG 3823, and successful completion of the ALPS (Assessment of Language Proficiency in Spanish) sequence. Must be taken concurrently with BBL 4033, BBL 4073, and BBL 4403 for Bilingual Generalist EC–6 Teacher Certification majors. Must be taken concurrently with BBL 4033 and BBL 4073 for Bilingual Generalist 4–8 Teacher Certification majors.  | An investigation of appropriate first language usage in bilingual classrooms, focusing on the different content areas, appropriate terminology for native language instruction, and the study of languages distribution strategies. Field experience required. Taught in Spanish.
