HTH | 2133 | School Health | P | C | | This course is designed to provide teacher certification students with the opportunity to gain developmentally appropriate knowledge and skills in health and environmental safety. It will address health-related issues in personal, interpersonal, and community settings and creating a safe teaching environment. Offered Spring Semester only.
HTH | 2413 | Introduction to Community and Public Health | P | C | | This course is a survey of the profession of public health and the competencies required of health educators, including examination of philosophies, ethics and current trends. This course serves as a foundation for other courses in the health degree. May be applied toward the Core Curriculum requirement in Social and Behavioral Sciences.
HTH | 2513 | Personal Health | P | C | | Emphasizes the concept of mind, body, and spirit as necessary components of total well-being; principles of preventive health; and self-responsibility for personal health behaviors. May be applied toward the Core Curriculum requirement in Social and Behavioral Sciences.
HTH | 2601 | Field-Based Skills in Community Health and Preventive Services | P HTH 2413 | C | Prerequisite: HTH 2413. | This course introduces students to practices and skills that are commonly used in community health and preventive health services. These include health screening skills and skills for communicating and interpreting screening results. The course offers hands-on practice of these skills.
HTH | 2623 | Applied Technology for Research and Health Education | P | C | | This course is a survey of common technologies used for health education practice, research, and database management in Community and Preventative Health Services. This course will provide an overview of the major skills and critical issues associated with health education material development, database management, and data reporting for program evaluation.
HTH | 3003 | Survey of Drugs and Health | P | C | | Study of the use and abuse of drugs and other substances. Examines addiction, dependence, tolerance, motivation for use, and effects of substance abuse on health and society.
HTH | 3013 | Survey of Human Nutrition | P | C | | An overview approach to understanding the principles of nutrition and their effect on health and fitness. Emphasis on major nutritional issues throughout the human life cycle; self-evaluation of diet and fitness habits.
HTH | 3023 | Survey of Human Sexuality | P | C | | A study examining the breadth of human sexuality, including psychosocial, cultural and physical aspects, and its impact on our lives.
HTH | 3043 | Principles of Weight Management | P | C | | An in-depth study of the field of prevention and management of obesity. This course provides practical application of nutritional, psychological, and physical activity principles that help individuals manage their own weight and is suitable for students in health, kinesiology, psychology, biology, counseling, or others. A noncompetitive, monitored activity component is required.
HTH | 3303 | Physical Activity and Health | P HTH 3503 HTH 3663 | C | Prerequisites: HTH 3503 and HTH 3663. | The course provides a survey of the health-related effects and social-cultural and behavioral determinants of physical activity and exercise. Biological/physiological mechanisms for adaptations to physical activity are also addressed.
HTH | 3503 | Theories of Health Behavior | P | C | | Designed to provide an overview of health behavior theories, program planning models and multi-level interventions typically used in public health. Each level of the socio-ecological model will be discussed including individual, interpersonal, organization, community and policy. Directed field experience is required. (Formerly titled “Foundations of Health Theory.”).
HTH | 3513 | Community Health | P HTH 2413 HTH 3503 | C | Prerequisites: HTH 2413 and HTH 3503. | Study of community health problems and the function and organization of public, private, and voluntary health agencies, application of health theories and models and program planning methods. Directed field experience is required. Offered Fall Semester only.
HTH | 3523 | Worksite Health Promotion | P HTH 2413 HTH 3503 | C | Prerequisites: HTH 2413 and HTH 3503. | Organization, administration, and supervision of health programs in the community, school, business, or industry setting. Application of health theories, models and program planning methods is required. Directed field experience is required. Offered Spring Semester only.
HTH | 3533 | Drugs and Health | P HTH 2413 HTH 3503 HTH 3663 | C | Prerequisites: Completion of Core science requirements, anatomy and physiology, HTH 2413, HTH 3503, and HTH 3663. | Study of the use and abuse of drugs and other substances. Examines addiction, dependence, tolerance, motivation for use, and effects of substance abuse on health and society. Application of theories and models for program development, implementation and evaluation. Health majors and minors only. Offered Spring Semester only.
HTH | 3543 | Growth and Development | P | C | | Physical, social, and psychological development throughout the lifespan. Implications for health professionals at all stages of development (prenatal to death) are addressed. Offered Spring Semester only.
HTH | 3553 | Emotional Wellness | P | C | | Practical application of techniques for shaping healthier emotional behavior; emphasis on personality, stress management, and fulfilling relationships. Offered Fall Semester only.
HTH | 3563 | Child and Adolescent Health Promotion | P | C | | Designed for students who are interested in promoting the health of youth, as well as those students pursuing academic training in education and community health. The primary goal of this course is to improve the health literacy of teachers and health promotion specialists through understanding and application of evidence-based child and adolescent health promotion concepts. Offered Fall Semester only.
