BME | 1002 | Introduction to Biomedical Engineering | P BIO 1404 CHE 1103 MAT 1214 | C CHE 1113 MAT 1224 PHY 1943 PHY 1951 | Prerequisites: A grade of â€œC-â€? or better in BIO 1404, CHE 1103, and MAT 1214, and concurrent enrollment in CHE 1113, MAT 1224, PHY 1943, and PHY 1951. | This course is an introduction to the interdisciplinary field of biomedical engineering. Topics covered include core biomedical engineering areas such as Biomechanics, Biomaterials and Bioimaging.
BME | 2103 | Physiology for Biomedical Engineering | P BME 1002 CHE 1113 | C | Prerequisites: Major in Biomedical Engineering and a grade of â€œC-â€? or better in BME 1002 and CHE 1113. | Fundamental principles of general and organs systems physiology, including composition and concentration of cellular and other body fluids, types of transport (e.g., diffusion, membrane transporters), energy (thermodynamics, metabolism), enzymes, feedback control, and membrane potentials with engineering applications and mathematical modeling. This course includes a 3 hour lecture and a 1 hour recitation.
BME | 2203 | Biomechanics I | P EGR 2323 PHY 1963 | C BME 3114 BME 3211 | Prerequisites: A grade of â€œC-â€? or better in EGR 2323 and PHY 1963, and concurrent enrollment in BME 3114 and BME 3211. | Introduction to the fundamental engineering mechanics with focus on the human body. This course includes a 3 hour lecture and a 1 hour recitation.
BME | 3003 | Biomaterials I | P BME 2103 EGR 2323 | C BME 3114 BME 3211 | Prerequisites: A grade of â€œC-â€? or better in BME 2103 and EGR 2323 and concurrent enrollment in BME 3114 and BME 3211.  | Introduction to the fundamental science of natural and synthetic biomaterials used for repairing human tissues and organs. Topics include crystal structures, phase diagrams, and properties of materials. This course includes a 3-hour lecture and a 1-hour recitation. (Formerly BME 2403. Credit cannot be earned for both BME 3003 and BME 2403).
BME | 3013 | Clinical Internship in Biomedical Engineering | P BME 2203 BME 3003 BME 3114 | C | Prerequisites: A grade of â€œC-â€? or better in BME 2203, BME 3003, and BME 3114. | This course will introduce students to the clinical environment, interacting with clinicians on current clinical problems and engineering approaches.
BME | 3022 | Biomedical Engineering Technology and Product Development | P BME 3013 | C | Prerequisite: A grade of â€œC-â€? or better in BME 3013. | This course will introduce students to current biomedical technologies and product development. (Formerly BME 3023. Credit cannot be earned for both BME 3022 and BME 3023.).
BME | 3033 | Biomedical Engineering Internship | P BME 3022 | C | Prerequisite: A grade of â€œC-â€? or better in BME 3022. | Internship with a biomedical industry.  May be repeated for credit but no more than 3 semester credit hours will apply to a bachelorâ€™s degree.
BME | 3042 | Biomedical Engineering Research | P | C | Prerequisite: Consent of instructor. | Advanced laboratory practice and introduction to biomedical engineering research.  This course may be counted as one of the courses to satisfy one of the BME tracks.  May be repeated for credit but no more than 3 semester credit hours will apply towards a bachelorâ€™s degree in Biomedical Engineering.
BME | 3043 | Biomedical Engineering Research | P | C | Prerequisite: Consent of instructor. | Advanced laboratory practice and introduction to biomedical engineering research.  This course may be counted as one of the courses to satisfy one of the BME tracks.  May be repeated for credit but no more than 3 semester credit hours will apply towards a bachelorâ€™s degree in Biomedical Engineering.
BME | 3114 | Cellular Biology for Biomedical Engineering | P BME 2103 CHE 1113 | C | Prerequisites: Major in Biomedical Engineering and a grade of â€œC-â€? or better in BME 2103 and CHE 1113. | Introduction to cell structure and function, energy conversions, protein sorting, signaling, cytoskeleton, cell adhesion, cell cycle, and mammalian genetics. A laboratory component will focus on techniques and procedures commonly used in cell and molecular biology with bioengineering applications. This class includes a 3-hour lecture and a 4-hour laboratory. (Formerly BME 2114. Credit cannot be earned for both BME 3114 and BME 2114).
BME | 3203 | Biomechanics II | P BME 2203 BME 3211 | C | Prerequisites: A grade of â€œC-â€? or better in BME 2203 and BME 3211. | Continuation of fundamental biomechanics to include elasticity, viscoelasticity, deformation, stress analysis, blood flow in the systemic and pulmonary circulation, and fluid-structure interaction.
BME | 3303 | Bioinstrumentation | P BME 2203 BME 3114 EGR 2323 PHY 1963 | C BME 3311 | Prerequisites: A grade of â€œC-â€? or better in BME 2203, BME 3114, EGR 2323, and PHY 1963, and concurrent enrollment in BME 3311. | Fundamental principles of bioinstrumentation used in clinical and research measurements will be covered. Topics include: principles of transducer operation, amplifiers and signal processing, recording and display. This course includes a 3 hour lecture and a 1 hour recitation.
BME | 3403 | Biomaterials II | P BME 3003 BME 3211 | C | Prerequisites: A grade of â€œC-â€? or better in BME 3003 and BME 3211. | This course will emphasize materials used in medical applications, including modifications and characterization techniques.  This course includes a 1 hour lecture and a 5 hour laboratory.
BME | 3413 | Biocompatibility of Materials | P BME 3003 BME 3211 | C | Prerequisites: A grade of â€œC-â€? or better in BME 3003 and BME 3211. | This course is an introduction to biocompatibility with special emphasis on the interaction of cells and tissues with biomaterials. Blood composition and blood-material interactions, responses of the inflammatory and immune systems to biomaterials, the process of wound healing, protein structure and interactions with material surfaces, and the mechanisms of cell interactions with extracellular matrix components as well as cell/tissue responses to implant materials are reviewed in detail. Case studies of cardiovascular and orthopaedic implants are discussed to illustrate that selection of biocompatible materials is a key aspect of implant design and a crucial choice for the success of various biomedical applications (e.g., tissue engineering and biotechnology) which require regeneration of tissues.
BME | 3503 | Nanomaterials and Nanobiotechnology | P BME 3003 BME 3211 | C | Prerequisites: A grade of â€œC-â€? or better in BME 3003 and BME 3211. | This course will introduce an overview of nanomaterials and nanotechnology development. Topics may include biocompatible nanomaterials, microfabrication, microfluidics, lab-on-a-chip, and applications in biomedical engineering. (Formerly titled â€œFundamentals of Nanobiotechnology.â€?).
BME | 3703 | Biotransport Phenomena | P BME 3114 BME 3303 EGR 2323 PHY 1963 | C BME 3711 | Prerequisites: A grade of â€œC-â€? or better in BME 3114, BME 3303, EGR 2323 and PHY 1963, and concurrent enrollment in BME 3711.  | This course introduces the concepts of quantitative modeling of biological systems with respect to mass, momentum and energy transport. We will study the use of conservation laws to model cardiopulmonary, renal, and thermal systems of the human physiology, and also apply these principles to design artificial and extracorporeal devices, drug delivery systems for pharmacokinetic analysis. This course includes a 3 hour lecture and a 1 hour recitation.
BME | 4203 | Biomechanics III | P BME 3203 | C | Prerequisites: A grade of â€œC-â€? or better in BME 3203. | Topics may include elasticity, viscoelasticity, deformation, stress analysis, strain measurement, and stress and strain in organs. Tissues covered may include heart, blood vessels, cartilage, and bone.
