ME | 1302 | Introduction to Mechanical Engineering | P MAT 1073 | C WRC 1013 ME 1301 ME 1302 | Prerequisites: MAT 1073 and completion of or concurrent enrollment WRC 1013. Engineering ethics, principles and fundamentals of engineering design, decision-making processes in cases of mechanical engineering design. (Formerly ME 1301. Credit cannot be earned for both ME 1302 and ME 1301.). | 
ME | 1402 | Mechanical Engineering Practice and Graphics | P MAT 1093 ME 1302 | C | Prerequisites: MAT 1093 and ME 1302. | Introduction to engineering graphics: geometric constructions, multi-view drawing, dimensioning, sections, pictorials and auxiliary views. Computer-aided design, generation of mechanical drawings, and design projects. (Formerly ME 1403. Credit cannot be earned for both ME 1402 and ME 1403.) (Formerly titled “Engineering Graphics.”).
ME | 2173 | Numerical Methods | P EGR 2323 | C | Prerequisite: EGR 2323. | Introduction to the fundamentals of syntax and debugging techniques for interpreted and structured programming languages with an emphasis on engineering applications. Cross-platform interchange of data and use of visualization tools for effective communication of computational results. Error and computer arithmetic, root finding, interpolation and extrapolation, curve-fitting, matrix manipulation, numerical integration, solution methods for systems of linear algebraic equations and differential equations. (Formerly ME 3173. Credit cannot be earned for both ME 3173 and ME 2173.).
ME | 3113 | Measurements and Instrumentation | P EE 2213 EGR 2513 PHY 1951 PHY 1971 | C | Prerequisites: EE 2213, EGR 2513, PHY 1951, and PHY 1971. | Fundamentals of measurement systems, descriptive statistics, probability, error, error propagation, confidence intervals, hypothesis testing, correlation, linear regression, data acquisition.
ME | 3244 | Materials Engineering and Laboratory | P CHE 1103 EGR 2103 | C | Prerequisites: CHE 1103 and EGR 2103. | Fundamentals in structures, properties, fabrication, and mechanical behavior of engineering materials. Investigation of the properties of engineering materials, with emphasis on metals, sample preparation, metallography, and foundry processes. (Formerly ME 3241 and ME 3243. Credit cannot be earned for ME 3244 and ME 3241/ME 3243. Prior completion of ME 3241 and ME 3243 can be substituted for this course.).
ME | 3263 | Manufacturing Engineering | P EGR 2513 | C | Prerequisite: EGR 2513. | An integrated coverage of mechanical properties of materials, tolerances, measurement and quality assurance, manufacturing processes, and manufacturing systems, fundamental definitions, design for manufacturing, and mathematical models, hands-on applications related to measurement and manufacturing processes. (Formerly titled “Materials Processing.”).
ME | 3293 | Thermodynamics I | P EGR 2103 MAT 1224 | C | Prerequisites: EGR 2103 and MAT 1224. | Heat, work, equations of state, thermodynamics systems, control volume, first and second laws of thermodynamics, applications of the laws of thermodynamics, reversible and irreversible processes, and introduction to basic thermodynamic cycles.
ME | 3323 | Mechanical Vibration | P EGR 2323 EGR 2513 | C | Prerequisites: EGR 2323 and EGR 2513. | Free and forced vibrations, single and multiple degree of freedom systems, damping, matrix methods, time-domain and frequency-domain. Applications in the transmission and control of vibration.
ME | 3513 | Mechanism Design | P EGR 2513 ME 1402 | C | Prerequisites: EGR 2513 and ME 1402. | Introduction to mechanisms, graphical and linear analytical methods for kinematic synthesis of mechanisms; design of cam follower; gearing fundamentals,  ordinary and planetary gear trains; and computer-aided design projects.
ME | 3543 | Dynamic Systems and Control | P EE 2213 EGR 2513 EGR 3323 | C | Prerequisites: EE 2213, EGR 2513 and EGR 3323. | Introduction to modeling and control of dynamic physical systems, analysis and design of control systems for mechanical, electrical, manufacturing, fluid, and thermal systems. (Formerly ME 4522 and ME 4523. Credit cannot be earned for more than one of the following: ME 3543, ME 4522, or ME 4523.).
ME | 3663 | Fluid Mechanics | P EGR 2323 EGR 2513 | C ME 3293 | Prerequisites: EGR 2323, EGR 2513, and concurrent enrollment in ME 3293. | Fluid properties, fluid statics, integral and differential analysis of fluid flow, viscous laminar and turbulent flow in conduits, dimensional analysis, boundary layer concepts, drag and lift.
