AHC | 1113 | Survey of Art and Architecture from Prehistoric Times to  | P | C | | A critical and historical study of art and architecture as it developed from Paleolithic times to 1350 in the various civilizations of Europe, the Near East, and the New World. Course will include selected readings from related fields. May be applied to the Creative Arts Core Curriculum requirements for art and non-art majors.
AHC | 1123 | Survey of Art and Architecture in Europe and the New World from  | P | C | | A critical and historical study of art and architecture as it developed from the Renaissance in Europe and the period of the Aztecs and Incas in the New World to 1750. Course will include selected readings from related fields. May be applied to the Creative Arts Core Curriculum requirement for art and non-art majors.
AHC | 1133 | Survey of Modern Art | P | C | | A critical and historical study of modern art from 1750 to the present. Course will include selected readings from related fields. May be applied to the Creative Arts Core Curriculum requirement for art and non-art majors.
AHC | 3113 | Contemporary Art | P | C | Prerequisite: 3 semester credit hours of lower-division art history. | History, theory, and criticism of the visual arts of the United States and Europe from 1960 to the present. (Formerly AHC 4113. Credit cannot be earned for both AHC 3113 and AHC 4113.).
AHC | 3423 | Arts of Ancient America | P | C | Prerequisite: 3 semester credit hours of lower-division art history. | A critical and historical study of art and architecture in the Western Hemisphere. (Formerly titled “Pre-Columbian Art and Architecture of Mesoamerica.”).
AHC | 3523 | Latin American Art | P | C | Prerequisite: 3 semester credit hours of lower-division art history. | A critical and historical study of art from the independence period to the present.
AHC | 4333 | Topics in Art History and Criticism | P | C | Prerequisite: 3 semester credit hours of lower-division art history passed with a grade of “C-” or better. | Focus on a specific period, medium, or theoretical and critical issue within the history and criticism of art. May be repeated for credit when topics vary.
AHC | 4913 | Independent Study | P | C | Prerequisites: Permission in writing (form available) of the instructor, the student’s advisor, the Department Chair, and the Dean of the College in which the course is offered. | Independent reading, research, discussion and/or critical writing under the direction of a faculty member. May be repeated for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree.
AHC | 4933 | Art Gallery and Museum Internship | P | C | Prerequisite: Permission in writing (departmental form available). | Supervised experience related to preparation and installation of exhibitions in gallery and museum settings. Students must confer with instructor during the semester prior to enrolling in order to formulate the content of the internship. May be repeated once for credit. Enrollment limited to juniors and seniors with declared major or minor in Art History and Criticism.
ART | 1003 | Two Dimensional Foundations | P | C | Prerequisite: Art or Art History majors only. A grade of “C-” or better must be earned in this course to satisfy the prerequisite for subsequent courses in the Art major. | Exploration of the visual structure and organization of two-dimensional surfaces using a variety of media, with an emphasis on the development of creative and critical skills. This course may not be applied to Core Curriculum requirements. (Formerly titled “Design: Two Dimensional.”).
ART | 1013 | Three Dimensional Foundations | P | C | Prerequisite: Art or Art History majors only. A grade of “C-” or better must be earned in this course to satisfy the prerequisite for subsequent courses in the Art major. | Exploration of the visual structure and organization of multidimensional forms in a variety of materials, with an emphasis on the development of creative and critical skills. This course may not be applied to Core Curriculum requirements. (Formerly titled “Design: Three Dimensional.”).
