ENG | 1113 | Introduction to Creative Literary Arts | P | C | | Introduction to Creative Literary Arts exploration in the purposes and processes of the literary arts.  This course provides opportunities for students to engage in creative literary practices through the study of literary genres such as poetry and fiction. May be applied toward the Core Curriculum requirement in Creative Arts.
ENG | 2013 | Introduction to Literature | P | C | Prerequisite: Completion of the Core Curriculum requirement in Communication. | Introductory study of great works of literature with an emphasis on novels, plays, and poetry by British and American authors. Designed for nonmajors. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture.
ENG | 2213 | Literary Criticism and Analysis | P | C | Prerequisite: Completion of the Core Curriculum requirement in Communication. | A study of poetry, fiction, and drama, with close attention to literary terms, literary criticism, and the characteristics of each genre. This course includes intensive reading and extensive writing requirements and is designed to prepare students who intend to take advanced courses in literature and other students who have a commitment to the rigorous study of literature. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture.
ENG | 2223 | British Literature I | P | C | Prerequisite: Completion of the Core Curriculum requirement in Communication. | Study of representative works of British literature from the medieval period to 1700. Required of students majoring in English.
ENG | 2233 | British Literature II | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy, and Culture. | Study of representative works of British literature from 1700 to the present. Required of students majoring in English.
ENG | 2263 | American Literature I | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy, and Culture. | Study of representative works of American literature from the pre-Colonial period to 1865. Required of students majoring in English.
ENG | 2293 | American Literature II | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy, and Culture. | Study of representative works of American literature from 1865 to the present. Required of students majoring in English.
ENG | 2323 | Creative Writing | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy, and Culture. | Offers the opportunity for intensive practice and development of techniques in the writing of fiction.
ENG | 2333 | Creative Writing | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy, and Culture. | Offers the opportunity for intensive practice and development of techniques in the writing of poetry.
ENG | 2343 | Creative Writing | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy, and Culture. | Offers the opportunity for intensive practice and development of techniques in the writing of nonfiction genres such as memoir, autobiography, and informal essays.
ENG | 2383 | Multiethnic Literatures of the United States | P | C | Prerequisite: Completion of the Core Curriculum requirement in Communication. | A survey of the literature of various minority groups such as Native American, Asian American, African American, and Latina/o. Designed for nonmajors. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture.
ENG | 2413 | Technical Writing | P | C | Prerequisite: Completion of the Core Curriculum requirement in Communication. | Techniques of expository writing, particularly adapted to students in technological and scientific subjects. May be applied toward the Core Curriculum requirement in the Component Area Option.
ENG | 2423 | Literature of Texas and the Southwest | P | C | Prerequisite: Completion of the Core Curriculum requirement in Communication. | Study of the literature of Texas and the Southwest, including an examination of the region’s multicultural heritage. Designed for nonmajors. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture.
ENG | 2433 | Editing | P ENG 2413 | C | Prerequisite: ENG 2413. | Principles and applications of production editing and technical editing, including evaluation and revision of style, tone, and organization of documents. Practice in the use of editing symbols and copy marking. (Same as COM 2433. Credit cannot be earned for both ENG 2433 and COM 2433.).
ENG | 2443 | Introduction to Rhetoric | P | C | Prerequisite:  Completion of Core Curriculum requirement in Communication. | Introduces students to key concepts and frameworks useful for analysis of texts, events, communication, and contexts by focusing on the traditional rhetorical canons of invention, arrangement, style, delivery, and memory.
ENG | 3033 | American Literature,  | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy, and Culture. | Critical study of the literature written in the United States since 1945.
ENG | 3063 | American Literature,  | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy, and Culture. | Critical study of literature written in the United States in the late 19th and early 20th centuries.
ENG | 3073 | Young Adult Literature | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy, and Culture. | Literary analysis of the kinds of reading available for adolescents: poetry, drama, biography, science fiction, mystery, and fantasy. Both classics and current trends will be considered. Emphasis on the novel. (Formerly ENG 2373. Credit cannot be earned for both ENG 3073 and ENG 2373.).
ENG | 3113 | Studies in Individual Authors | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy, and Culture. | Study of the works of an individual British or American author or of several authors examined in relation to one another. May be repeated for credit when authors vary.
ENG | 3123 | Modern Fiction | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy, and Culture. | Critical survey of American, British, and Continental fiction of the 20th century, studied in relation to the development of modern techniques.
ENG | 3133 | Women and Literature | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy, and Culture. | Critical study of the presentation of women and feminist issues in various literary forms.
ENG | 3153 | Topics in Drama | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy, and Culture. | Study of one or more periods (e.g., Tudor-Stuart, modern, contemporary) or modes (e.g., comedy, tragedy) of drama. May be repeated for credit when topics vary.
ENG | 3213 | Chaucer | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy, and Culture. | Critical study of The Canterbury Tales and other poems. Texts in Middle English.
ENG | 3223 | Shakespeare | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy, and Culture. | Critical study of comedies, histories, and tragedies from 1590–1601.
ENG | 3233 | Shakespeare | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy, and Culture. | Critical study of comedies, tragedies, and romances from 1602–1613.
ENG | 3243 | Topics in the British Novel | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy, and Culture. | Critical study of English novels. May be repeated for credit when topics vary.
ENG | 3253 | The American Novel | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy, and Culture. | Reading and discussion of representative American novels.
ENG | 3303 | Theory and Practice of Composition | P | C | Prerequisite: Completion of the Core Curriculum requirement in Communication. | Extensive practice in the techniques of clear, effective writing. Designed for students who will write in their professions and will supervise the writing of others.
ENG | 3313 | Advanced Composition | P | C | Prerequisite: Completion of the Core Curriculum requirement in Communication. | Study of the principles and procedures of informational and persuasive prose. Emphasis on coherence, liveliness, persuasiveness, and originality. Extensive writing practice, including the writing of arguments.
ENG | 3323 | History of the English Language | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy, and Culture. | Historical survey of the development of the English language.
ENG | 3333 | Introduction to the Structure of English | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy, and Culture. | Analysis of English syntax from various theoretical perspectives, including traditional, structural, and generative. Consideration of the concept of Standard English and of language variation, especially regional and social variation within modern English.
ENG | 3343 | Principles of English Linguistics | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy, and Culture. | Introduction to the goals and procedures of modern linguistics, emphasizing phonetics, phonology, and morphology. Discussion of language acquisition and the neurolinguistic foundations of language ability. Some attention to topics such as semantics, pragmatics, and language change. (Same as ANT 3903 and LNG 3813. Credit cannot be earned for more than one of these courses.).
ENG | 3363 | Topics in Rhetoric and Composition | P | C | Prerequisite: Completion of Core Curriculum requirement in Communication.  Critical study of a topic in rhetoric and composition, such as history and development, research and methodology, major paradigms, and/or different contexts.  Special emphasis on the diversity of approaches and applications. May be repeated for credit when topics vary. | 
