ARA | 1014 | Elementary Arabic I | P | C | | Fundamentals of Arabic offering the opportunity to develop speaking, listening, reading, and writing skills. Introduction to Arabic culture. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture.
ARA | 1024 | Elementary Arabic II | P ARA 1014 | C | Prerequisite: ARA 1014, an equivalent, or an appropriate placement test score. | Fundamentals of Arabic offering the opportunity to further develop speaking, listening, reading, and writing skills. Further exposure to Arabic culture.
ARA | 2013 | Intermediate Arabic I | P ARA 1024 | C | Prerequisite: ARA 1024, an equivalent, or an appropriate placement test score. | Continued opportunity to develop listening, speaking, reading, and writing skills. Continued exposure to Arabic culture.
ARA | 2023 | Intermediate Arabic II | P ARA 2013 | C | Prerequisite: ARA 2013, an equivalent, or an appropriate placement test score. | Continued opportunity to develop listening, speaking, reading, and writing skills. Continued exposure to Arabic culture.
CHN | 1014 | Elementary Chinese I | P | C | | Fundamentals of Chinese offering the opportunity to develop basic listening, speaking, reading, and writing skills. Introduction of Chinese characters and Chinese culture. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture.
CHN | 1024 | Elementary Chinese II | P CHN 1014 | C | Prerequisite: CHN 1014, an equivalent, an appropriate placement test score, or consent of instructor. | Fundamentals of Chinese offering the opportunity to develop basic speaking, listening, reading, and writing skills. Further study of Chinese characters and Chinese culture.
CHN | 2013 | Intermediate Chinese I | P CHN 1024 | C | Prerequisite: CHN 1024, an equivalent, an appropriate placement test score, or consent of instructor. | Continued opportunity to develop listening, speaking, reading, and writing skills through structural analysis of the Chinese language. Continued exposure to Chinese culture.
CHN | 2023 | Intermediate Chinese II | P CHN 2013 | C | Prerequisite: CHN 2013, an equivalent, an appropriate placement test score, or consent of instructor. | Continued opportunity to develop listening, speaking, reading, and writing skills through structural analysis of the Chinese language. Continued exposure to Chinese culture.
CSH | 1103 | Literary Masterpieces of Western Culture I | P | C | | Representative masterworks of Western literature in translation. An examination of major texts from antiquity to the Renaissance that have shaped and expressed Western cultural traditions. Situation of literary works in the context of the development of civilization. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture.
CSH | 1113 | Literary Masterpieces of Western Culture II | P | C | | Representative masterworks of Western literature in translation. An examination of major texts from the Renaissance to the present that have shaped and expressed Western cultural traditions. Situation of literary works in the context of the development of civilization. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture.
CSH | 1213 | Topics in World Cultures | P | C | | Introductory overview of a specific culture or cultural area as revealed through the diversity of its heritage. Includes topics such as Hispanic, Francophone, German, Slavic, Judaic, Latin, Oriental, or African culture. All readings are from English language or translated materials. May be repeated for credit when topics vary. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture.
CSH | 2113 | The Foreign Film | P | C | | An introduction to film as art and cultural expression. Emphasis on cinematic techniques, national traditions, genres, and the distinctive features of film as a humanistic medium. Films drawn from Latin America, Asia, Africa, and/or Europe. May be repeated for credit when topics vary. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture.
CSH | 2313 | Introduction to Literary Studies | P WRC 1023 | C | Prerequisite: WRC 1023 or the equivalent. | Offers the opportunity to develop an awareness of literature and the skills with which to approach and understand it. Examination of individual national traditions and the interrelationship of all literary traditions. Emphasis on the nature of genre, period, and style. (Formerly CSH 3313. Credit cannot be earned for both CSH 2313 and CSH 3313.).
CSH | 3023 | Studies in Comparative Literature | P WRC 1023 | C | Prerequisite: WRC 1023 or the equivalent. | Comparative investigation of foreign literature. Topics may include study of a genre, period, or motif, or comparison of authors across different languages. All readings are in English translation. May be repeated for credit when topics vary.
CSH | 3823 | Advanced Topics in World Cultures | P WRC 1023 | C | Prerequisite: WRC 1023 or the equivalent. | Comparative investigation of foreign cultures. Topics may include various combinations and aspects of Hispanic, Francophone, German, Slavic, Judaic, Latin or Oriental cultures. All readings are in English translation. May be repeated for credit when topics vary.
