DAN | 1013 | Ballet I | P | C | | An introductory course in ballet for those who have no previous ballet experience. Students will learn the format of a ballet class and incorporate ballet terminology with the positions and movements of the body.
DAN | 1113 | Introduction to Modern Dance | P | C | | An introduction to modern dance technique. Students will learn basic modern dance techniques by studying various choreographers and movements throughout the history of modern dance. (Formally MUS 2763. Credit cannot be earned for both DAN 1113 and MUS 2763.).
DAN | 2003 | Introduction to Dance | P | C | | A survey of various dance styles, including ballet, modern, social, and world dance. Designed to provide the opportunity for students to increase their awareness of dance and how dance informs cultural values. May be applied toward the Core Curriculum requirement in Creative Arts.
DAN | 2013 | Ballet II | P | C | | An intermediate course designed for students who have had at least one year of ballet training. Further refinement of technique, alignment, strength, balance, and flexibility will be achieved through barre and centre floor work.
DAN | 2113 | Modern Dance II | P | C | | An intermediate course designed for students who have had at least one year of modern dance experience. Students will refine modern dance technique through floor and centre work, and by studying various movements and styles relevant to current modern dance technique.
DAN | 2213 | Jazz and Musical Theater Dance | P | C | | Introduction to jazz dance techniques with emphasis on how dance is applied in musical theatre. Dance styles will include but are not limited to tap, step, and swing. Students will also study the styles of known musical choreographers such as Bob Fosse and Jerome Robbins while developing performance technique and facial expression. (Formerly MUS 2773. Credit cannot be earned for both DAN 2213 and MUS 2773.).
DAN | 2783 | Topics in Dance | P | C | | Studio dance instruction and survey focused on a genre of dance. May be repeated for credit when topics vary. (Formerly MUS 2783.).
DAN | 3013 | Ballet III | P | C | | An advanced course designed for students who have had at least two years of ballet training. Further refinement of technique, alignment, strength, balance, and flexibility will be achieved through barre and centre floor work.
DAN | 3103 | History of Dance | P | C | | An overview of the history of dance from ancient civilizations through the present. The importance and role of dance within major civilizations and historical periods will be presented. Students will study major dance movements, choreographers, and notable dancers throughout history. (Formerly DAN 2103. Credit cannot be earned for both DAN 2103 and DAN 3103.).
DAN | 3113 | Modern Dance III | P | C | | An advanced course designed for students who have had at least two years of modern dance experience.  Further refinement of technique, strength, balance, and flexibility will be achieved through floor and centre work.
MUS | 1102 | Aural Skills I | P | C | Enrollment is limited to music majors and minors. | Offers the opportunity for training in sight-singing, aural skills, and keyboard application. Should be taken concurrently with MUS 1112. May not be attempted more than three times.
MUS | 1112 | Basic Skills of Music I | P | C | Enrollment is limited to music majors and minors. | A survey of fundamentals and concepts of music. Emphasis on rudiments and melody, with an introduction to harmony. Materials from a variety of style periods are studied. Should be taken concurrently with MUS 1102. May not be attempted more than three times.
MUS | 1122 | Aural Skills II | P MUS 1102 | C | Prerequisite: MUS 1102 or the equivalent. Enrollment is limited to music majors and minors. | Offers the opportunity to continue training in sight-singing and aural skills, with emphasis on rhythmic, melodic, and harmonic materials. Should be taken concurrently with MUS 1132. May not be attempted more than three times.
MUS | 1132 | Basic Skills of Music II | P MUS 1112 | C | Prerequisite: MUS 1112 or the equivalent. Enrollment is limited to music majors and minors. | Offers the opportunity for development of harmonic analytical and writing skills. Analytical techniques are applied to music from a variety of style periods, and includes an introduction to small forms. May not be attempted more than three times.
MUS | 1512 | Music Performance-Private Instruction | P | C | Enrollment is limited to music majors. | Placement by audition. Private instruction for all first-semester students, both freshmen and transfer students, desiring to or required to study the following instruments: bassoon, clarinet, contrabass, cornet, electric bass, euphonium, flute, classical guitar, harp, harpsichord, horn, oboe, organ, percussion, piano, saxophone, trombone, trumpet, tuba, viola, violin, violoncello, or voice. Seminar attendance may be required. Students must earn a grade of “C-” or higher to progress to MUS 1542. Concurrent enrollment in an assigned University ensemble is required. May be repeated for credit a maximum of two semesters.
MUS | 1542 | Music Performance-Private Instruction I | P MUS 1512 | C | Prerequisite: Successful completion of MUS 1512 with a grade of “C-” or better or placement by audition. Limited to music majors. | Private instruction for students desiring to or required to study the following instruments: bassoon, clarinet, contrabass, cornet, electric bass, euphonium, flute, classical guitar, harp, harpsichord, horn, oboe, organ, percussion, piano, saxophone, trombone, trumpet, tuba, viola, violin, violoncello, or voice. Seminar attendance may be required. Concurrent enrollment in an assigned University ensemble is required. May be repeated for credit a maximum of three semesters.
MUS | 1552 | Functional Piano for Keyboard Principals | P | C | Prerequisite: Music major with piano or organ as the principal instrument or consent of instructor. | Offers the opportunity for development of keyboard skills, harmonization, transposition, and improvisation of accompaniments to melodies, sight-reading, score reading, and multiple-part reading.
MUS | 2102 | Aural Skills III | P MUS 1122 | C | Prerequisite: MUS 1122 or the equivalent. Enrollment is limited to music majors. | Offers the opportunity to continue training in sight-singing and aural skills, with emphasis on rhythmic, melodic, and harmonic materials applied to the literature and theory drawn from MUS 2152. Should be taken concurrently with MUS 2152. May not be attempted more than three times.
MUS | 2112 | Aural Skills IV | P MUS 2102 | C | Prerequisite: MUS 2102 or the equivalent. Enrollment is limited to music majors. | Application of skills to materials drawn from MUS 2162 Basic Skills of Music IV. Should be taken concurrently with MUS 2162. May not be attempted more than three times.
MUS | 2122 | Aural Skills Review | P | C | | Review of aural skills materials for incoming transfer students and other music majors. Designed to satisfy deficiencies indicated by the aural skills proficiency exam. Offers an overview of sight-singing methodology and ear training techniques, with an emphasis on rhythmic, melodic, and harmonic materials drawn from common-practice literature.
MUS | 2132 | Introduction to Improvisation | P | C MUS 3771 | Prerequisites: Music major status or concurrent enrollment in MUS 3771 or MUS 4581: Jazz Combos. | Private instruction for development of creative skills applied to melodic, rhythmic, and harmonic elaboration techniques adapted to the student’s instrument. Laboratory attendance may be required. May be repeated for credit a maximum of three semesters.
MUS | 2152 | Basic Skills of Music III | P MUS 1132 | C | Prerequisite: MUS 1132 or the equivalent. Enrollment is limited to music majors. | A survey of the chromatic materials of music with an emphasis on writing and analytical skills. Includes an introduction to large-scale form. Should be taken concurrently with MUS 2102. May not be attempted more than three times.
MUS | 2162 | Basic Skills of Music IV | P MUS 2152 | C | Prerequisite: MUS 2152 or the equivalent. Enrollment is limited to music majors. | The continued study of chromatic materials of music, large-scale forms, and an introduction to analytical techniques for early 20th-century music. Should be taken concurrently with MUS 2112. May not be attempted more than three times.
MUS | 2183 | Jazz Skills | P MUS 1122 MUS 1132 | C | Prerequisites: MUS 1122 and MUS 1132, or their equivalents. | The study of harmonic, melodic, rhythmic and formal elements of jazz as applied to improvisation, performance, arranging, and composition. (Formerly MUS 2182. Credit may not be earned for both MUS 2183 and MUS 2182.).
MUS | 2232 | Introduction to Guitar Literature | P | C | Prerequisite: Music major status. | An introductory study of the history and literature of the modern concert guitar and its historical predecessors. Designed to improve students’ understanding of the solo repertoire for their instrument throughout the 16th–20th centuries.
MUS | 2243 | World Music in Society | P | C | | A survey of the music cultures of Africa, the Americas, Asia and Oceania. Music traditions are studied from a perspective that emphasizes music as an integral part of society and culture. May be applied toward the Core Curriculum requirement in Creative Arts. (Formerly MUS 2252. Credit may not be earned for both MUS 2243 and MUS 2252.).
MUS | 2263 | Introduction to the Music Industry | P | C | Prerequisite: Consent of instructor required for non-music majors. | A survey of the various structures and facets of the modern American music industry, focusing on how music and commerce have intersected in our society throughout the 20th century and into the present. Topics include intellectual property (copyright, licensing, publishing), artist management, concert promotion, arts administration, recording industry, broadcast music, and music on the Internet.
MUS | 2273 | Introduction to Music Nonprofit Organizations | P | C | Prerequisite: Consent of instructor required for non-music majors or non-music minors. | An introduction to the world of nonprofit music organizations, with an emphasis on classical music presentation. Focused on strategies of management, financial structuring, artistic direction, and marketing, primarily within the context of opera companies, symphony orchestras, ballet companies, and chamber music organizations. Includes an examination of the challenges of audience development and discussion of classical music's role in contemporary society.
MUS | 2403 | Conducting I | P MUS 1132 | C | Prerequisite: MUS 1132 or the equivalent. | Fundamentals of beat patterns, score mechanics and score reading, regular and irregular meters, gesture design, left-hand cueing, and rehearsal techniques. Instrumental Music Laboratory attendance may be required.
MUS | 2542 | Music Performance-Private Instruction II | P MUS 1542 | C | Prerequisite: MUS 1542 or placement by audition. Enrollment is limited to music majors. | Private instruction for students desiring to or required to study the following instruments: bassoon, clarinet, contrabass, cornet, electric bass, euphonium, flute, classical guitar, harp, harpsichord, horn, oboe, organ, percussion, piano, saxophone, trombone, trumpet, tuba, viola, violin, violoncello, or voice. Seminar attendance may be required. Concurrent enrollment in an assigned University ensemble is required. May be repeated for credit a maximum of three semesters.
MUS | 2603 | Beginning Guitar | P | C | | An introductory course intended primarily for the non-Music major. Emphasis will be on music in the first position (through the fourth fret) while students learn technical aspects as defined by the early 19th-century guitar masters.
