CLA | 1114 | Basic Individualized Instruction | P | C | Prerequisites: Permission in writing (form available) of the instructor, the student's advisor, the Department Chair, and the Dean of the College in which the course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 8 hours of basic individualized instruction will apply to a bachelor’s degree.
CLA | 2013 | Introduction to Ancient Greece | P | C | Prerequisite: Completion of Core Curriculum requirement in Communication.  | Introduction to the civilization and cultural achievements of ancient Greece, including history, religion, philosophy, literature, and art. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture.
CLA | 2023 | Introduction to Ancient Rome | P | C | Prerequisite: Completion of Core Curriculum requirement in Communication. | Introduction to the civilization and cultural achievements of ancient Rome, including history, religion, philosophy, literature, and art. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture.
CLA | 2033 | Introduction to Classical Literature | P | C | Prerequisite: Completion of Core Curriculum requirement in Communication. | Introductory study of selected works of ancient Greek and Roman authors, with emphasis on epic, drama, satire, and lyric. May be applied toward the Core Curriculum requirement in Creative Arts.
CLA | 2113 | Intermediate Individualized Instruction | P LAT 1114 GRK 1114 | C | Prerequisites: Successful completion of LAT 1114 or GRK 1114 or equivalent, and permission in writing (form available) of the instructor, the student's advisor, the Department Chair, and the Dean of the College in which the course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 hours of intermediate individualized instruction will apply to a bachelor’s degree.
CLA | 2323 | Classical Mythology | P | C | Prerequisite: Completion of Core Curriculum requirement in Communication. | Critical survey of secular and religious classical mythology; attention to the use of myth in ancient literature and the functions of myth in historical, cultural, and cross-cultural contexts. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture.
CLA | 2953 | Topics for the Study of the Ancient Mediterranean | P | C | Prerequisite: Completion of Core Curriculum requirement in Communication. | Organized course offering introductory and broad examinations of topics important for the study of the Ancient Mediterranean world that are not covered during typical course offerings. Topics cover social and cultural history, etymology, and the art and archaeology of the Ancient Mediterranean. May be repeated for credit when topics vary.
CLA | 3023 | Classical Myths and Literature | P | C | Prerequisite: Completion of the Core Curriculum requirement in Language, Philosophy and Culture. | Critical examination of ancient Greek and Roman myths and their functions in literary texts and ancient societies; attention to current theories and methodologies of mythic analysis.
CLA | 3053 | Topics in Classical Genres | P | C | Prerequisite: Completion of Core Curriculum requirement in Communication. | Consideration of texts selected to illustrate the structural and conceptual properties of a given genre in the classical world, e.g., comedy, epic, or tragedy. May be repeated for credit when topics vary.
CLA | 3063 | Topics in the Art and Architecture of the Classical World | P | C | Prerequisite: Completion of Core Curriculum requirement in Communication. | A study of one or more themes, periods, traditions, or archaeological sites in the art and architecture of the ancient Greek and Roman world. May be repeated for credit when topics vary.
CLA | 3123 | Cultural Issues in Classical Antiquity | P | C | Prerequisite: Completion of Core Curriculum requirement in Communication. | Examination of issues in ancient Greek and Roman power relations and social differences as reflected in classical literature and historical material. Coverage of such topics as slavery, attitudes towards barbarians, gender, and intergenerational strife. May be repeated for credit when topics vary.
CLA | 3513 | Topics in Classical History | P | C | Prerequisite: Completion of Core Curriculum requirement in Communication. | An examination of selected events, trends, and transformations in the history of ancient Greece and ancient Rome. May be repeated for credit when topics vary.
CLA | 4911 | Independent Study | P | C | Prerequisites: Permission in writing (form available) of the instructor, the student’s advisor, the Department Chair, and the Dean of the College in which the course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 hours of independent study, regardless of discipline, will apply to a bachelor’s degree.
CLA | 4912 | Independent Study | P | C | Prerequisites: Permission in writing (form available) of the instructor, the student’s advisor, the Department Chair, and the Dean of the College in which the course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 hours of independent study, regardless of discipline, will apply to a bachelor’s degree.
CLA | 4913 | Independent Study | P | C | Prerequisites: Permission in writing (form available) of the instructor, the student’s advisor, the Department Chair, and the Dean of the College in which the course is offered. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated for credit, but not more than 6 hours of independent study, regardless of discipline, will apply to a bachelor’s degree.
CLA | 4953 | Special Studies in Classics | P | C | Prerequisite: Consent of instructor. | Organized course offering the opportunity for specialized study not normally or not often available as part of the regular course offerings. Special Studies courses may be repeated for credit when the topics vary, but not more than 6 hours, regardless of discipline, will apply to a bachelor’s degree.
CLA | 4973 | Senior Seminar in Classics | P | C | Prerequisite: 12 upper-division credit hours in Classics or approved upper-division courses in other disciplines. | Undergraduate capstone experience for students in the Classics emphasis and minor, open to eligible students from other disciplines in their junior or senior year. The seminar focuses on the development of research methodologies for the study of the ancient world. Subject varies with instructor, but the course will emphasize a combination of historical, linguistic, archaeological and anthropological approaches, reflecting the interdisciplinary nature of contemporary Classical Studies. May be repeated once for credit when topics vary. (Formerly titled “Seminar for Classics Majors.”).
CLA | 4991 | Honors Thesis | P | C | Prerequisites: Consent of instructor and Department Scholarship and Honors Committee. | Supervised research and preparation of an Honors Thesis for the purpose of earning Classical Studies Honors. May be repeated once with advisor approval.
CLA | 4992 | Honors Thesis | P | C | Prerequisites: Consent of instructor and Department Scholarship and Honors Committee. | Supervised research and preparation of an Honors Thesis for the purpose of earning Classical Studies Honors. May be repeated once with advisor approval.
CLA | 4993 | Honors Thesis | P | C | Prerequisites: Consent of instructor and Department Scholarship and Honors Committee. | Supervised research and preparation of an Honors Thesis for the purpose of earning Classical Studies Honors. May be repeated once with advisor approval.
GRK | 1114 | Introductory Classical Greek I | P | C | | Fundamentals of Greek grammar and readings in Greek. May be applied toward the Core Curriculum requirement in Language, Philosophy and Culture.
GRK | 1124 | Introductory Classical Greek II | P | C | | Fundamentals of Greek grammar and readings in Greek.
GRK | 2113 | Intermediate Classical Greek I | P GRK 1124 | C | Prerequisite: GRK 1124 or the equivalent. | Continued practice in reading Greek prose and poetry. Selections from Plato and Homer. Review of Greek grammar and syntax.
