GRG | 1013 | Fundamentals of Geography | P | C | | Introduction to the study of physical and cultural features of the earth and their distributions, causes, and consequences to humans. Topics include landforms, climate, natural resources, population, human behavior in spatial context, economic growth, urbanization, and political systems. May apply toward the Core Curriculum requirement in Social and Behavioral Sciences.
GRG | 1023 | World Regional Geography | P | C | | Study of the world’s regions, focusing on salient physical, cultural, economic, and political characteristics, including physiography, climate, natural resources, population, economic structure and development, globalization, urban growth, cultural institutions, and political structure. Regions include North America, Latin America, Europe, Middle East/North Africa, Sub-Saharan Africa, South Asia, Japan, China and East Asia, the Russian Federation, and Australasia. May apply toward the Core Curriculum requirement in Language, Philosophy and Culture.
GRG | 2613 | Physical Geography | P | C | | Study of the earth’s major landforms and climatic patterns, the processes giving use to these patterns, and their relationship to human activity. Includes the geomorphology of volcanoes, glaciers, coral reefs, mountains, caves, dunes, and plate tectonics. May apply toward the Core Curriculum requirement in Life and Physical Sciences.
GRG | 2623 | Human Geography | P | C | | Study of the relationship between the social and spatial aspects of human behavior. Topics include stereotyping of people and places, human proxemics and territoriality, perception of places, environmental perception, spatial diffusion, and human migration. May apply toward the Core Curriculum requirement in Social and Behavioral Sciences.
GRG | 3113 | Geography of the United States and Canada | P | C | | Study of selected geographic aspects of the major regions of the United States and Canada, emphasizing current social and economic issues in these regions. From a contextualizing treatment of the continent’s physical geographies, the course proceeds to the social geographies of the major ethnic groups, showing how the historical management and appropriation of space has been integral to determining the character of the contemporary social hierarchy at the national level. The course proceeds through analyses of social and economic patterns of development, including the national and internal geographical patterns of North American cities.
GRG | 3123 | Geography of Latin America | P | C | | Beginning with basic aspects of the physical environment, the course examines the social geographies of pre-colonial and colonial Latin America. The structural factors of Latin American economies and cultural institutions are then examined. Emphasis is on their spatial manifestations and their role in producing a Latin America often termed “underdeveloped.” The emerging role of Latin America in the democratic world order of the post-1990s is also examined.
GRG | 3133 | Geography of Europe | P | C | | Survey of the European culture area, including Western Europe, Eastern Europe, and the Baltics. Discussion of historical, urban, political, ethnic, and economic forces shaping the 21st-century geography of Europe, including the European Union and the Russian Federation.
GRG | 3143 | Geography of Mexico | P | C | | Investigation of Mexico’s physical and social geography, including climatic and geomorphologic influences, the historical imprint of the Amerindians and the Spanish, population growth and migration, urbanization, political reform, social and cultural change, agriculture and industry, trade liberalization and the impact of NAFTA. May include a field trip to Mexico.
GRG | 3153 | Geography of Texas | P | C | | A topical and regional examination of the physical, cultural, and economic patterns of the state. Includes demographic characteristics, agriculture, mining, manufacturing, selected urban areas, and current social issues. May include a field trip to the nonmetropolitan hinterland of San Antonio.
GRG | 3166 | Physical and Cultural Geography of the American Southwest | P | C | | A capstone course in geography with both classroom and field components including visiting sites, keeping field logs and making student presentations. Illustrates how the principles of physical and cultural geography play out in the physical and cultural landscapes of the Southwest. The one-week field portion includes travel in vans to areas that may include West Texas and New Mexico in addition to adjacent Colorado, Arizona, and Utah. Students will stay in campgrounds and walk into historic and natural sites.
GRG | 3213 | Cultural Geography | P | C | | A thematic exploration of the nature and distribution of human culture hearths, population, folk culture, popular culture, agriculture, industrialization, languages, and religion. Topics are defined and examined in the context of their manifestations and influences as regions, cultural diffusion, ecology, cultural interaction, and landscapes.
