PSY | 1013 | Introduction to Psychology | P | C | | Introduction to the study of the mind and behavior in humans and other species with attention to awareness, sensation, perception, emotion, motivation, learning, memory, problem solving, personality, mental and behavioral development, abnormal behavior, and social behavior in group settings. Psychological, social, cultural, institutional, and biological determinants of behavior are considered, together with applications of basic principles based on individuals within a variety of cultural, civic, and public policy contexts. Scientific approaches to the explanation of psychological phenomena are examined critically, with emphasis on empirical research involving the application of the scientific method and quantitative research skills and results to everyday life situations and areas of social responsibility. Communication of empirical results to an appropriate audience is required, as is participation in illustrative research. May be applied toward the Core Curriculum requirement in Social and Behavioral Sciences. (Credit cannot be earned for both PSY 1013 and PSY 2013.).
PSY | 2073 | Statistics for Psychology | P MAT 1023 MAT 1033 MAT 1073 STA 1053 | C | Prerequisites: MAT 1023, MAT 1033, MAT 1073, or STA 1053; and one psychology course. | The use of statistics in psychological research includes: elementary probability theory; descriptive statistics, including histograms, graphing, and measures of central tendency and dispersion; correlational techniques; binomial and normal distributions; and inferential statistics, including hypothesis testing, effect size estimates, and analysis of variance. (Formerly STA 2073. Credit cannot be earned for both PSY 2073 and STA 2073.).
PSY | 2503 | Developmental Psychology | P PSY 1013 | C | Prerequisite: PSY 1013. | Problems, methods, major theories, and results in the study of the psychological development of the individual from the prenatal period to old age.
PSY | 2513 | Abnormal Psychology | P PSY 1013 | C | Prerequisite: PSY 1013. | Topics may include the dynamics of abnormal behavior with attention to description, causes, and treatment of major psychological disorders, including neuroses, psychoses, personality disorders, and psychosomatic disorders.
PSY | 2523 | Personality | P PSY 1013 | C | Prerequisite: PSY 1013. | Problems, methods, major theories, and results in the study of development and maintenance of typical modes of behavior and dynamics of adjustment.
PSY | 2533 | Social Psychology | P PSY 1013 | C | Prerequisite: PSY 1013. | Problems, methods, major theories, and results in the study of social interaction and interpersonal influence; self-identity, attitudes, role behavior, social perception, social influence, and behavior within groups.
PSY | 2543 | Theories of Learning | P PSY 1013 MAT 1023 | C | Prerequisites: PSY 1013 or equivalent; and MAT 1023 or equivalent. | An examination of major theories about the nature of the learning process. Discussion will focus on the construction and evaluation of models of learning. The practical and theoretical implications of research results for the acquisition, maintenance, modification, and elimination of behavior will be considered. Related memory phenomena and theories may be discussed.
PSY | 2573 | Psychology of Thought | P PSY 1013 MAT 1023 | C | Prerequisites: PSY 1013 or equivalent; and MAT 1023 or equivalent. | An introduction to the principles of human thought as they relate to memory, comprehension, and problem solving. These principles will be used to analyze the nature of the cognitive strategies and skills that individuals develop to cope with the adaptive challenges they face.
PSY | 3023 | Social Psychology of Small Groups | P PSY 2533 PSY 3403 | C | Prerequisites: PSY 2533 and PSY 3403; or consent of instructor. | Theory and modern research in the social psychology of small groups. Particular attention will be given to group formation, the nature of small group processes, and the influence of groups on behavior.
PSY | 3053 | Cross-Cultural Psychology | P ANT 1013 ANT 2053 PSY 1013 PSY 3403 | C | Prerequisites: ANT 1013, ANT 2053, or PSY 1013; and PSY 3403 or the equivalent; or consent of instructor. | An examination of the role of culture in the development and validation of psychological theories. Critical discussion of the application of theories of human behavior developed in the United States and Western Europe to other cultural groups, including ethnic minority subgroups. Topics may include identity formation, cognitive and personality development, social and organizational behavior, intergroup relations, psychological assessment, and mental health.
PSY | 3103 | Cognition | P PSY 2543 PSY 2573 PSY 3403 | C | Prerequisites: PSY 2543 or PSY 2573; and PSY 3403. | Examination of current information-processing models of human cognition. Emphasis will be placed on the processes by which stimuli are identified, by which past information is retrieved and used, and by which one’s knowledge is modified.
