SOC | 1013 | Introduction to Sociology | P | C | | Introduces the study of human groups, the relations of individuals to groups, and the process of becoming a group member and functioning in a group setting. May be applied toward the Core Curriculum requirement in Social and Behavioral Sciences. (Formerly titled “Introduction to the Study of Society.”).
SOC | 1043 | Introduction to Public Health | P | C | | Introduces the discipline of public health. Covers a variety of disciplines to the basic tenets of public health. Provides a history of public health, an introduction to the five core disciplines (Epidemiology, Biostatistics, Environmental Health, Social and Behavioral Health, and Health Policy &amp; Management). Also covers the role of public health in global society. (Same as PUB 1113. Credit cannot be earned for both SOC 1043 and PUB 1113.).
SOC | 2013 | Social Problems | P | C | | Examines major contemporary social problems and their causes and consequences. Topics may include poverty, racism, sexism, deviance and crime, drug and alcohol dependence, the urban crisis, overpopulation, and war. May be applied toward the Core Curriculum requirement in Social and Behavioral Sciences.
SOC | 2023 | Social Context of Drug Use | P | C | | Explores the use and abuse of mind-altering substances within society. Topics of study may include historical treatments of drug use, drug treatment and recovery interventions, the global magnitude of contemporary drug problems, and the problematic nature and consequences of drug legislation and enforcement. May be applied toward the Core Curriculum requirement in Social and Behavioral Sciences. (Formerly titled &quot;Drugs in Society.&quot;).
SOC | 2063 | Special Topics in Sociology | P | C | | An organized course offering the opportunity for a specialized topic at the lower division level that is available through the regular course offerings. Special Topics may be repeated for credit when topics vary, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree.
SOC | 3013 | Social Stratification | P | C | | Examines theory and research pertaining to inequalities of power, prestige, and economic privilege. Major emphasis upon inequality and social mobility in the United States.
SOC | 3043 | Race and Ethnic Relations | P | C | | Examines the dominant-subordinate relations in world societies, with major emphasis on the United States. Models of assimilation, colonial and class society, and consequences for minority and majority populations may be examined.
SOC | 3053 | Deviance and Difference | P | C | | Analyzes the forms of deviance and consideration of social/political trends toward difference. An examination of theories may include: biological, analytic, labeling, functionalist, culture conflict, radical, and poststructuralist.
SOC | 3063 | Collective Behavior | P SOC 1013 | C | Prerequisite: SOC 1013, or consent of instructor. | Focuses on case studies and associated theory dealing with various forms of collective behavior ranging from spontaneous events to organized mass movements.
SOC | 3083 | Social Change and Development | P | C | | Presents principal models and theories of social transformation applied to examples of societal change. Topics may include consideration of master trends such as rationalization, industrialization, and bureaucratization, and the expansion and contraction of global interconnectedness.
SOC | 3093 | Religion and Society | P | C | | Focuses on religious institutions and movements in the United States with comparative data from other countries. Topics may include the relationship of religious institutions to social stratification, economic institutions, and political and social change.
SOC | 3113 | Criminology | P | C | | Examines the nature, prevalence, and impact of different types of legal violations, including street crime, organized crime, political crime, and white-collar crime. Includes treatment of social and legal responses to crime.
SOC | 3163 | Families in Society | P | C | | Examines the modern family, structures and functions, variant patterns and the influence of the broader society in producing family change. Contemporary and continuing issues are covered in the context of theory and research. Topics may include variability in childhood socialization, family violence, changing gender roles, marriage, divorce and remarriage, alternative family structures, and the aging family. (Formerly SOC 2053. Credit cannot be earned for both SOC 3163 and SOC 2053.) (Formerly titled “Marriage and Family.”).
