NPO | 3003 | Fundraising in Nonprofit Agencies | P | C | | Examines methods, techniques, and directed experience in fundraising for nonprofit agencies. Explores relationships with umbrella organizations, government funding, grantsmanship, budget control, and accountability.
NPO | 3013 | Introduction to Nonprofit Agencies | P | C | | An overview of the historical background, development, role, auspices, organization, and purposes of nonprofit agencies. Special emphasis is placed on structure, program, organizational management, planning and stewardship, fundraising, community building, volunteer services, and problems which confront these organizations. NPO 3013 should be taken in the student’s first semester in the minor. (Same as PAD 3033. Credit cannot be earned for both NPO 3013 and PAD 3033.).
NPO | 4911 | Independent Study | P | C | Prerequisite: Prior approval required. Independent Study Course Form (available in the department or college advising center) signed by the instructor, the student’s undergraduate advisor, Department Chair, and Dean of the College of Public Policy. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated once for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree.
NPO | 4913 | Independent Study | P | C | Prerequisite: Prior approval required. Independent Study Course Form (available in the department or college advising center) signed by the instructor, the student’s undergraduate advisor, Department Chair, and Dean of the College of Public Policy. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated once for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree.
NPO | 4933 | Internship in Nonprofit Management | P | C | Prerequisite: Prior approval of Nonprofit Management Internship Coordinator. | Supervised experience within selected not-for-profit agencies. Students must complete 150 clock hours of internship for the minor. May be repeated for credit, but not more than 6 semester credit hours may be earned through the internship.
NPO | 4936 | Internship in Nonprofit Management | P | C | Prerequisite: Prior approval of Nonprofit Management Internship Coordinator. | Supervised experience within selected not-for-profit agencies. Students must complete 150 clock hours of internship for the minor. May be repeated for credit, but not more than 6 semester credit hours may be earned through the internship.
NPO | 4953 | Special Studies in Nonprofit Management | P | C | | An organized course offering the opportunity for specialized study not normally or not often available as part of the regular course offerings. Special Studies may be repeated once for credit, but not more than 6 semester credit hours of special study, regardless of discipline, will apply to a bachelor’s degree.
PAD | 1113 | Public Administration in American Society | P | C | | This functions as the general introductory course in public administration. The management of government bureaucracies including organization, human resources, career systems, and financing is discussed. There is a discussion of the role of bureaucracies in modern society in the formulation and implementation of public policy. May be applied toward the Core Curriculum requirement in the Component Area Option.
PAD | 2153 | Analysis and Assessment for Public Administration | P | C | Prerequisite: Any 3-semester-credit-hour Mathematics core course. | This course will introduce students to the nature and practice of evaluation in the public and nonprofit sectors, and to the basic skills necessary to understand and conduct such evaluations. This course covers collecting, organizing, analyzing, and presenting information. (Formerly titled “Methodological Tools in Public Administration.”).
PAD | 3013 | Introduction to Public Policy | P | C | | The course introduces students to the different aspects of public policy in the U.S. political context. Topics may include agenda setting, policy formulation, implementation, analysis, and evaluation.
PAD | 3023 | Introduction to Urban Management and Policy | P | C | | This course will introduce students to the basic concepts of the management of urban municipalities. Topics to be covered may include leadership in urban settings; organizational structure and change; delivery of urban services, particularly in a diverse urban environment; and policy issues in urban settings.
PAD | 3033 | Introduction to Nonprofit Agencies | P | C | | This survey course introduces the nonprofit sector and core competencies required by nonprofit leaders. The role of nonprofit organizations in civil society frames the course, in particular, how the nonprofit sector is different from the public and private sectors. The state of the sector, and fundamental principles and practices required by nonprofit managers are explored, including creating a nonprofit, basics of fundraising, marketing, volunteer management, program development, and evaluation. Group and individual projects, service learning, research conducted for specific nonprofit agencies, oral presentations, networking, and construction of a portfolio of nonprofit work experiences and deliverables may be utilized. (Same as NPO 3013. Credit cannot be earned for both PAD 3033 and NPO 3013.).
PAD | 3043 | Public and Nonprofit Financial Management | P | C | | This course introduces students to the principles of financial management for public and nonprofit organizations. The public financial management component of the course will cover issues at the federal, state, and local levels of government. Topics will include budgeting, financial reporting, revenue streams, tax equity, stakeholder relations, and accountability.
PAD | 3053 | Urban Economic Development | P | C | | This course examines the factors contributing to the economic growth or decline of U.S. cities or regions and the role of local government in shaping economic development policies and economic change. It reviews the impact of public sector incentives and the outcomes of public-private partnerships through case studies of a variety of urban areas.
PAD | 3113 | Managing Public and Nonprofit Organizations | P | C | | This course focuses on understanding the nature and role of public and nonprofit organizations. The course explores strategies for preserving and maximizing the public value of public and nonprofit organizations through the analysis of ethics, human behavior and motivation, organizational diagnosis, and management decision making. The structure, processes, environments, and purpose of the public and nonprofit sectors, and how to maximize organizational performance, are emphasized.
PAD | 3123 | Strategic Planning in the Public and Nonprofit Sectors | P | C | | This course introduces the basic concepts of strategic planning and management in public and nonprofit organizations. The course covers a variety of topics such as formulation of mission and vision statements, identification of organizational goals, analysis of external environment and organizational context, strategic issue analysis, strategy development, implementation, and control. Students learn some analytical tools such as SWOT. Case studies are utilized to help students develop critical skills in analyzing and solving strategic problems.
PAD | 3133 | Politics and Policies of San Antonio and South Texas | P | C | | The San Antonio area has been shaped and built by an array of decisions, public and private. This course will examine the history and development of the area and the political, social, and economic forces that have defined the local policymaking process by city, county, and special purpose governments. Topics may include fiscal policy, public investment policies, urban revitalization, and transportation.
PAD | 3143 | Urban and Regional Planning | P | C | | This course will explore the fundamental concepts of urban and regional planning, including various planning tools and social and political issues related to planning. A wide variety of topics will be covered, including physical planning, transportation, housing, land use, urban redevelopment, and historic preservation. The course will tackle planning both as a community process and a professional activity. The evolution of planning concepts within the framework of the American political structure will be addressed.
PAD | 3153 | Legal Context of Public Policy and Administration | P | C | | This course covers the legal framework for creating and implementing public policy, at all governmental levels.  It includes an overview of the authority of legislative bodies to formulate laws and policies, as well as the rules that govern the implementation of these laws and policies by administrative bodies.  The course will also cover the authority of courts to review and/or overturn laws and policies.
PAD | 4843 | Study Abroad | P | C | Prerequisite: Permission of instructor. | A lecture/seminar course associated with a study abroad program related to the study and practice of comparative governance. Involves international travel and field trips.  May be repeated for credit when the destination country varies.
PAD | 4853 | Contemporary Issues in Public Administration  | P | C | Prerequisite: To be taken in the semester of graduation or with consent of instructor. | This is the capstone course for the Bachelor of Public Administration degree and will involve a major writing assignment and/or presentation. Specific topics to be covered will vary by semester.
PAD | 4911 | Independent Study | P | C | Prerequisite: Prior approval required. Independent Study Course Form (available in the department or college advising center) signed by the instructor, the student’s undergraduate advisor, Department Chair, and Dean of the College of Public Policy. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated once for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree.
PAD | 4913 | Independent Study | P | C | Prerequisite: Prior approval required. Independent Study Course Form (available in the department or college advising center) signed by the instructor, the student’s undergraduate advisor, Department Chair, and Dean of the College of Public Policy. | Independent reading, research, discussion, and/or writing under the direction of a faculty member. May be repeated once for credit, but not more than 6 semester credit hours of independent study, regardless of discipline, will apply to a bachelor’s degree.
PAD | 4933 | Internship in Public Administration | P PAD 1113 PAD 2153 PAD 3023 PAD 3033 | C | Prerequisites: PAD 1113, PAD 2153, and either PAD 3023 or PAD 3033; Prior approval of Public Administration Internship Coordinator is required. | Supervised experience in an administrative setting that provides the opportunity to integrate theory and practice in public or nonprofit-related agencies. May be repeated for credit in a subsequent semester when agency setting varies, but not more than 6 semester credit hours will apply to a bachelor’s degree.
PAD | 4936 | Internship in Public Administration | P PAD 1113 PAD 2153 PAD 3023 PAD 3033 | C | Prerequisites: PAD 1113, PAD 2153, and either PAD 3023 or PAD 3033; Prior approval of Public Administration Internship Coordinator is required. | Supervised experience in an administrative setting that provides the opportunity to integrate theory and practice in public or nonprofit-related agencies. May be repeated for credit in a subsequent semester when agency setting varies, but not more than 6 semester credit hours will apply to a bachelor’s degree.
PAD | 4953 | Special Topics in Nonprofit Organizations | P | C | | An organized course offering the opportunity for specialized study not normally or not often available as part of regular course offerings. Special Topics may be repeated for credit when topics vary, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree.
PAD | 4963 | Special Topics in Public Administration | P | C | | An organized course offering the opportunity for specialized study not normally or not often available as part of regular course offerings. Special Topics may be repeated for credit when topics vary, but not more than 6 semester credit hours, regardless of discipline, will apply to a bachelor’s degree. (Formerly titled “Special Topics in Urban Management Policy.”).
PAD | 4993 | Honors Thesis | P | C | Prerequisite: Enrollment limited to candidates for Honors in Public Administration during the last two semesters; completion of honors examination and approval by the honors program coordinator. | Supervised research and preparation of an honors thesis. May be repeated once with advisor’s approval.
