CS | 1023 | Cultural Implications of the Information Society | P | C | | This course offers an examination of the modern information society and the influences of technological advances on society and culture. The emphasis is on information and its management from ethical, social, and legal perspectives. Students will make extensive use of the World Wide Web. May be applied toward the core curriculum requirement in World Society and Issues.
CS | 1033 | Microcomputer Applications | P | C | | Study of the uses of the computer and the organization and visualization of data. Topics will be selected from library searching, networking, e-mail, spreadsheets, databases, authoring packages, multimedia and hypertext applications, presentation graphics, and legal/ethical issues. May not be applied toward a major in computer science. (Formerly CS 2083. Credit cannot be earned for both CS 1033 and CS 2083.).
CS | 1063 | Introduction to Computer Programming I | P MAT 1073 | C | Prerequisite: MAT 1073 or the equivalent. | An introduction to computer programming using a modern object-oriented computer language. Topics include assignment, decisions, loops, methods and arrays using objects.
CS | 1073 | Introductory Computer Programming for Scientific Applications | P MAT 1073 | C | Prerequisite: MAT 1073 or the equivalent. | Introductory programming. Data representation, problem-solving methods, algorithm development and implementation, arrays and list structures, searching and sorting. May not be applied toward a major in computer science.
CS | 1143 | Web Design | P | C | Prerequisite: Computer literacy. | Introduction to the process of planning, designing, and building a Web site. Concepts required to design and build interactive Web sites, including page design using XHTML, tables, CSS, and JavaScript. Design tools will be used to design and maintain Web sites.
CS | 1153 | Game Programming | P | C | Prerequisite: Computer literacy. | Introduction to game design and programming. Common practices used in the video game industry today will also be introduced. Students will learn the basics of creating a PC game through lecture material, hands-on laboratories, and a final project in which the students will build a simple game.
CS | 1173 | Data Analysis and Visualization using MATLAB | P MAT 1023 | C | Prerequisite: MAT 1023. | Introduction to computation for data analysis and visualization using MATLAB. Programming concepts including functions, scripting, loops and logic, handling of vectors and structured data are explored in the context of working with and plotting real data. May be applied toward the Core Curriculum requirement in the Component Area Option. (Formerly titled “Computation for Scientists and Engineers.”).
CS | 1711 | Introduction to Computer Programming II Recitation | P CS 1063 | C CS 1713 | Prerequisite: CS 1063. Concurrent enrollment in CS 1713 is required. | Recitation to accompany CS 1713. (Formerly titled “Introduction to Computer Science Recitation.”).
CS | 1713 | Introduction to Computer Programming II | P CS 1063 | C CS 1711 | Prerequisite: CS 1063. Concurrent enrollment in CS 1711 is required. | Extended programming concepts including multidimensional arrays, pointers, dynamic memory allocation/deallocation and recursion. Problem solving methods, algorithm development and implementation. (Formerly titled “Introduction to Computer Science.”).
CS | 2073 | Computer Programming with Engineering Applications | P MAT 1214 | C MAT 1224 | Prerequisites: MAT 1214 and completion of or concurrent enrollment in MAT 1224. | Algorithmic approaches to problem solving and computer program design for engineers. Engineering and mathematically-oriented problem sets will be emphasized, including nonnumeric applications. Searching, sorting, linked lists, and data typing will be introduced. May not be applied toward a major in computer science.
CS | 2121 | Data Structures Recitation | P CS 1711 CS 1713 | C CS 2123 | Prerequisites: CS 1711 and CS 1713. Concurrent enrollment in CS 2123 is required. | Recitation to accompany CS 2123. (Formerly CS 1721. Credit cannot be earned for both CS 2121 and CS 1721.).
CS | 2123 | Data Structures | P CS 1711 CS 1713 | C CS 2121 | Prerequisites: CS 1711 and CS 1713. Concurrent enrollment in CS 2121 is required. | Abstract data structures (stacks, queues, lists, trees), recursion, sorting, and searching. Implementation of data structures using explicit memory management, and introduction to abstract data type design and encapsulation. (Formerly CS 1723. Credit cannot be earned for both CS 2123 and CS 1723.).
CS | 2153 | Game Design | P CS 1153 | C | Prerequisites: CS 1153. | This course builds upon the lessons learned in CS 1153 Game Programming to examine in more detail the design and development of electronic games. The fundamentals of game design and development of electronic games. The fundamentals of game design will be examined in detail and the students will be responsible for building a game using a popular game engine.
CS | 2233 | Discrete Mathematical Structures | P CS 1711 CS 1713 MAT 1214 | C | Prerequisites: CS 1711, CS 1713, and MAT 1214. | Survey and development of theoretical tools suitable for describing algorithmic applications. Propositional and predicate calculus, proofs, induction, order notation, recurrences and discrete structures. (Formerly 3233. Credit cannot be earned for both CS 2233 and CS 3233.).
CS | 3333 | Mathematical Foundations of Computer Science | P CS 1711 CS 1713 MAT 1224 | C | Prerequisites: CS 1711, CS 1713, and MAT 1224. | Survey and development of mathematical and statistical tools suitable for describing algorithmic applications. Vectors, matrices, combinatorics, probability and statistical models.
CS | 3341 | Analysis of Algorithms Recitation | P CS 2121 CS 2123 CS 2233 CS 3333 | C CS 3343 | Prerequisites: CS 2121, CS 2123, CS 2233, and CS 3333. Concurrent enrollment in CS 3343 is required. | Recitation to accompany CS 3343.
CS | 3343 | Analysis of Algorithms | P CS 2121 CS 2123 CS 2233 CS 3333 | C CS 3341 | Prerequisites: CS 2121, CS 2123, CS 2233, and CS 3333. Concurrent enrollment in CS 3341 is required. | Analysis of the performance of algorithms; discussion of programming techniques and data structures used in the writing of effective algorithms.
CS | 3421 | Systems Programming Recitation | P CS 2121 CS 2123 | C CS 3423 | Prerequisites: CS 2121 and CS 2123. Concurrent enrollment in CS 3423 is required. | Recitation to accompany CS 3423. (Formerly CS 2411. Credit cannot be earned for both CS 3421 and CS 2411.).
CS | 3423 | Systems Programming | P CS 2121 CS 2123 | C CS 3421 | Prerequisites: CS 2121 and CS 2123. Concurrent enrollment in CS 3421 is required. | A study of systems-level programming in a specific system (at present, Unix). Focus on concepts and tools to support the construction of systems programs. (Formerly CS 2413. Credit cannot be earned for both CS 3423 and CS 2413.).
CS | 3433 | Principles of Computer and Information Security | P CS 3421 CS 3423 | C | Prerequisites: CS 3421 and CS 3423. | An introduction to the protection of computer systems and networks. Topics will include authentication, access controls, malicious software, formal security methods, firewalls, intrusion detection, cryptography and information hiding, risk management, computer forensics, and ethics.
CS | 3443 | Application Programming | P CS 2121 CS 2123 | C | Prerequisites: CS 2121 and CS 2123. | Advanced application development in a current object-oriented language. Introduction to the software life cycle, best programming practices, and modern development tools.
CS | 3723 | Programming Languages | P CS 2233 CS 3443 | C | Prerequisites: CS 2233 and CS 3443. | An introduction to high-level procedural, functional, and object-oriented programming languages, their theoretical foundations, organization, and implementation. Topics include formal syntax, compilers and interpreters, type systems, scoping and activation records, control structures, and data abstraction.
CS | 3731 | Operating Systems Recitation | P CS 3421 CS 3423 CS 3443 CS 3841 CS 3843 | C CS 3733 | Prerequisites: CS 3421, CS 3423, CS 3443, CS 3841, and CS 3843. Concurrent enrollment in CS 3733 is required. | Recitation to accompany CS 3733.
