ES | 1113 | Environmental Botany | P | C | | Study of structure and function of plant cells, tissues, and organs. Includes an evolutionary survey and life histories of the following representative groups: algae, fungi, mosses, liverworts, ferns, and seed producing organisms. Plant reproductive and functional interactions with their environment and with humans. May apply toward the Core Curriculum requirement in Life and Physical Sciences.
ES | 1123 | Environmental Zoology | P | C | | Study of the principles of taxonomy, molecular biology, and ecology as they relate to animal form and function, diversity, behavior, and evolution. May apply toward the Core Curriculum requirement in Life and Physical Sciences.
ES | 1213 | Environmental Geology | P | C | | The earth as a habitat. Interrelationships between humans and the environment. Geologic factors in urban and regional land use planning.
ES | 1314 | Environmental Statistics | P | C | | Collection, analysis, presentation and interpretation of environmental data, and probability. Analysis includes descriptive statistics, correlation and regression, confidence intervals and hypothesis testing. Use of appropriate technology, including statistical software.
ES | 2013 | Introduction to Environmental Systems I | P | C | | An introduction to the scientific principles, concepts, and methodologies needed to understand the interactions of the biotic component of the natural world, to identify and analyze environmental problems within the biotic component of natural word, risk assessment of these environmental problems, and to examine alternate solutions. General attention is given to the biotic concepts of growth, processes, and changes occurring in ecosystems and social structures. May apply toward the Core Curriculum requirement in Life and Physical Sciences.
ES | 2023 | Introduction to Environmental Systems II | P | C | | An introduction to the scientific principles, concepts, and methodologies needed to understand the interactions of the abiotic component of the natural world, to identify and analyze environmental problems within the abiotic component of the natural world, risk assessment of these environmental problems, and to promote environmental sustainability. General attention is given to the abiotic environmental factors including natural hazards, pollution processes, energy resources, sustainability, and changes occurring in ecosystems. May apply toward the Core Curriculum requirement in Life and Physical Sciences.
ES | 2113 | Fundamentals of Geographic Information Systems  | P CS 1173 | C | Prerequisite: CS 1173. | This course will serve as a basic introduction to the concepts and techniques of utilizing a Geographic Information System (GIS) to study and model environmental issues. In lecture and laboratory, students will study methods of querying, analyzing, creating and displaying GIS data utilizing industry standard software. Students will also be introduced to using the Global Positioning System (GPS) as a means for creating GIS data. (Same as GEO 2113. Credit cannot be earned for both ES 2113 and GEO 2113).
ES | 3033 | Environmental Ecology | P ES 2013 ES 2023 | C | Prerequisites: ES 2013 and ES 2023, or equivalents. | Examination of the interactions of biotic and abiotic systems, including interactions of plants, animals, and the environment. (Formerly ES 3034. Credit cannot be earned for more than one of the following: ES 3033, ES 3034 or BIO 3283.).
ES | 3042 | Environmental Ecology Laboratory | P ES 2013 ES 2021 ES 2023 ES 2031 | C ES 3033 | Prerequisites: ES 2013, ES 2021, ES 2023, and ES 2031, or equivalents. Concurrent enrollment in ES 3033 is recommended. | A field-oriented course emphasizing modern ecological techniques, including examinations of plant and animal populations and measurement of selected chemical and physical parameters. (Credit cannot be earned for both ES 3042 and BIO 3292.).
ES | 3053 | Environmental Remediation | P CHE 2603 ES 2013 ES 2023 | C | Prerequisites: CHE 2603, ES 2013, and ES 2023, or equivalents. | This course will focus on the fundamentals associated with environmental remediation in relation to the overall environmental quality and protection. Topics covered include contaminant fate and transport; physical, chemical, and biological processes/characteristics of the air, soil, and water; remediation/restoration methods; environmental monitoring; environmental assessments; environmental regulations; and water/wastewater treatment. (Formerly ES 3054. Credit cannot be earned for both ES 3053 and ES 3054.).
ES | 3103 | Environmental Microbiology | P CHE 2603 ES 2013 ES 2023 | C | Prerequisites: CHE 2603, ES 2013, and ES 2023, or equivalents, or consent of instructor. | This course will survey environmental microbiology and will emphasize microbial interactions in terrestrial and aquatic environments as well as the fate of microbial pathogens. Topics covered include microbial environments, detection of bacteria and their activities in the environment, microbial biogeochemical cycling, bioremediation of organic and inorganic pollutants, and water quality. (Formerly ES 3104. Credit cannot be earned for more than one of the following: ES 3103, ES 3104 or BIO 3713.).
