GEO | 1013 | The Third Planet | P | C | | Evolution of ideas concerning the earth’s origin, structure, and age; social impact of recognizing the antiquity of the planet and humankind’s brief presence; examination of how the distribution of planetary resources influenced the rise and clash of civilizations. May not be applied to a major in geology. May apply toward the Core Curriculum requirement in Life and Physical Sciences.
GEO | 1103 | Physical Geology | P | C CHE 1103 CHE 1121 MAT 1093 GEO 1111 | Prerequisites: Completion of or concurrent enrollment in CHE 1103, CHE 1121, and MAT 1093 or higher, or satisfactory performance on placement exam. Completion of or concurrent enrollment in GEO 1111 required. | The earth as a dynamic planet; relation of the earth’s present processes to its resources, structure, and internal composition. Nature of minerals and rocks, the hydrosphere, tectonics, earthquakes, volcanism, and surface features of the earth. (Formerly titled “Introduction to Earth Systems.”).
GEO | 1123 | Life Through Time | P | C GEO 1131 | Concurrent enrollment in GEO 1131 recommended. | The origin of Earth and the interaction of plate tectonics, mountain building, evolution of the oceans and climate, and the history and development of life from the Archean to the present. May apply toward the Core Curriculum requirement in Life and Physical Sciences. (Formerly titled “Earth History.”).
GEO | 2003 | Mineralogy | P CHE 1103 CHE 1121 GEO 1103 GEO 1111 MAT 1093 | C GEO 2011 | Prerequisites: CHE 1103, CHE 1121, GEO 1103, GEO 1111, MAT 1093 or higher, or satisfactory performance on placement exam. Completion of or concurrent enrollment in GEO 2011. | Crystallography, crystal chemistry, and the physical and optical properties of minerals. Principles of optical mineralogy and the microscopic determination of nonopaque minerals. Field trips may be required.
GEO | 2113 | Fundamentals of Geographic Information Systems  | P CS 1173 | C | Prerequisite: CS 1173 or equivalent. | This course will serve as a basic introduction to the concepts and techniques of utilizing a Geographic Information System (GIS) to study and model environmental issues. In lecture and laboratory, students will study methods of querying, analyzing, creating and displaying GIS data utilizing industry standard software. Students will also be introduced to using the Global Positioning System (GPS) as a means for creating GIS data. (Same as ES 2113. Formerly ES 4043. Credit cannot be earned for more than one of the following: GEO 2113, ES 2113, or ES 4043.).
GEO | 3004 | Rocks, Fossils, and Global Tectonics | P GEO 1103 GEO 1111 | C | Prerequisites: GEO 1103 and GEO 1111. | An investigation of the major rock forming minerals, petrogenesis of the major rock types, and their plate tectonic context. Study of major trends in fauna and flora through time and their application to interpreting plate tectonics, paleoenvironments, and paleoclimate. Credit may not be applied to a B.S. or B.A. major in Geology.
GEO | 3043 | Petrology | P GEO 2003 GEO 2011 MAT 1214 | C GEO 3051 | Prerequisites: GEO 2003, GEO 2011, MAT 1214, and completion of or concurrent enrollment in GEO 3051. | Description, classification, occurrence, and origin of igneous and metamorphic rocks. Field trips may be required.
GEO | 3063 | Paleontology | P GEO 1103 GEO 1111 GEO 1123 GEO 1131 GEO 3123 GEO 3131 | C GEO 3071 | Prerequisites: GEO 1103, GEO 1111, GEO 1123, GEO 1131, GEO 3123, GEO 3131, or consent of instructor, and concurrent enrollment in GEO 3071. | Study of fossil animals and plants. Emphasis on invertebrate animals. Systematics, biostratigraphy, paleoecology, and evolution of fossil organisms. Field trips may be required.
GEO | 3103 | Structural Geology | P GEO 3043 GEO 3051 | C GEO 3111 | Prerequisites: GEO 3043, GEO 3051, and completion of or concurrent enrollment in GEO 3111. | Response of earth materials to natural stresses. Description and origin of geologic structures. Field trips may be required.
GEO | 3112 | Geologic Field Investigations | P GEO 1103 GEO 1111 GEO 1123 GEO 1131 GEO 2003 GEO 2011 WRC 1023 | C | Prerequisites: GEO 1103, GEO 1111, GEO 1123, GEO 1131, GEO 2003, GEO 2011, and WRC 1023, or consent of instructor. | Introduction to techniques for studying geologic features and processes in the field, including rock identification, construction of geological maps, orientation analysis, and report writing. Concurrent enrollment in GEO 4933 or GEO 4943 is not permitted. Some half-day and Saturday field trips may be required. (Formerly GEO 3113. Credit cannot be earned for both GEO 3112 and GEO 3113.).
GEO | 3123 | Sedimentation and Stratigraphy | P GEO 1123 GEO 1131 GEO 2003 GEO 2011 GEO 3112 | C GEO 3131 | Prerequisites: GEO 1123, GEO 1131, GEO 2003, GEO 2011, GEO 3112, and completion of or concurrent enrollment in GEO 3131. Processes of erosion, transportation, and deposition that form bodies of sedimentary rock. Depositional systems and modeling are a significant area of study. Stratigraphic principles and temporal and spatial facies relationships at various scales. Field trips may be required. (Formerly titled “Sedimentary Geology.”). | 
