MAT | 0203 | Basic Mathematics | P | C | | A course intended for students with minimal mathematical skills who need a comprehensive review before they can successfully complete an algebra course. Topics include the Fundamental Mathematics and Geometry objectives of the Texas Higher Education Assessment (THEA), with an introduction to algebra. Intensive review and maintenance of computational skills with integers, fractions, decimals, percentages, ratios, and proportions; reading and interpreting information presented in graphs, tables, and charts; solving word problems, elementary algebraic equations, problems with two- and three-dimensional geometric figures; and inductive and deductive reasoning skills. Course does not count toward any degree at UTSA. This course may be repeated. (Formerly MTC 0103.).
MAT | 0213 | Intermediate Algebra | P | C | | Introductory algebra course that includes the Texas Higher Education Assessment (THEA) Algebra and Problem Solving objectives. Operations with algebraic expressions; solving one- and two-variable equations; solving word problems involving one and two variables; graphing number relationships; and solving problems involving quadratic equations. Course does not count toward any degree at UTSA. This course may be repeated. (Formerly MTC 0113.).
MAT | 1023 | College Algebra with Applications | P | C | Prerequisite: Satisfactory performance on a placement examination. | Topics include algebraic expressions; equations; inequalities over the real numbers; relations, functions and graphs; polynomial and rational functions; systems of linear equations and inequalities; complex numbers; and matrices and determinants. A wide range of applications will be included in this course. Students majoring in areas that require MAT 1214 Calculus I are encouraged to take MAT 1073 instead of MAT 1023. (Formerly MTC 1023. Credit can be earned for only one of the following: MAT 1023, MTC 1023, MAT 1063, MTC 1073, or MAT 1073.) This course is designed for majors outside sciences and engineering and will not serve as a prerequisite for MAT 1093. May apply toward the Core Curriculum requirement in Mathematics.
MAT | 1033 | Algebra with Calculus for Business | P | C | Prerequisite: Satisfactory performance on a placement examination. | An introduction to business calculus with an emphasis on the algebra of functions. Concentration is on the algebraic manipulations of functions and includes volume and profit functions, both linear and quadratic; root finding and graphical analysis; matrices; and differentiation and integration. (Formerly MTC 1033. Credit cannot be earned for both MAT 1033 and MTC 1033.) May apply toward the Core Curriculum requirement in Mathematics.
MAT | 1043 | Introduction to Mathematics | P | C | Prerequisite: Satisfactory performance on a placement examination. | This course is designed primarily for the liberal arts major to satisfy the Core Curriculum mathematics requirement. Topics may include logic; proofs; deductive and inductive reasoning; number theory; fundamentals of statistics; basic statistical graphs; causal connections; financial management; functions; linear graphs and modeling; exponential growth and decay; logarithms; fundamentals of probability; fundamentals of geometry; and basic ideas from trigonometry, calculus, and discrete mathematics. (Formerly MTC 1043. Credit cannot be earned for both MAT 1043 and MTC 1043.) May apply toward the Core Curriculum requirement in Mathematics.
MAT | 1073 | Algebra for Scientists and Engineers | P | C | Prerequisite: Satisfactory performance on a placement examination. | This course is designed to prepare the student for MAT 1093 Precalculus and MAT 1214 Calculus I. Topics may include algebraic expressions; equations; inequalities over the real numbers; relations; functions; polynomial and rational functions; logarithmic and exponential functions; systems of linear equations and inequalities; matrices and determinants; complex numbers; sequences; series binomial expansion; mathematical induction; permutations, and combinations. (Formerly MTC 1073. Credit can be earned for only one of the following: MAT 1073, MTC 1073, MAT 1063, MTC 1023, or MAT 1023.) May apply toward the Core Curriculum requirement in Mathematics.
MAT | 1093 | Precalculus | P MAT 1073 | C | Prerequisite: MAT 1073 or the equivalent course or satisfactory performance on a placement examination. | Exponential functions, logarithmic functions, trigonometric functions, complex numbers, DeMoivre’s theorem, and polar coordinates. May apply toward the Core Curriculum requirement in Mathematics.
MAT | 1153 | Essential Elements in Mathematics I | P MAT 1023 MAT 1073 | C | Prerequisite: MAT 1023 or MAT 1073. | Numeration systems; properties of the systems of whole numbers, integers, rational numbers, and real numbers; problem solving; logic. May not be applied toward a major in mathematics. (Credit cannot be earned for both MAT 1153 and MAT 1143.).
MAT | 1163 | Essential Elements in Mathematics II | P MAT 1153 | C | Prerequisite: MAT 1153. | Algebra, statistics and probability; geometric shapes; measurement; coordinate and transformational geometry. May not be applied toward a major in mathematics.
MAT | 1193 | Calculus for the Biosciences | P MAT 1093 | C | Prerequisite: MAT 1093 or an equivalent course or satisfactory performance on a placement examination. | An introduction to calculus is presented using discrete-time dynamical systems and differential equations to model fundamental processes important in biological and biomedical applications. Specific topics to be covered are limits, continuity, differentiation, antiderivatives, definite and indefinite integrals, the fundamental theorem of calculus, differential equations, and the phase-plane. (Formerly MAT 1194. Credit can be earned for only one of the following: MAT 1193, MAT 1194, or MAT 1214.) May apply toward the Core Curriculum requirement in Mathematics.
MAT | 1214 | Calculus I | P MAT 1093 | C | Prerequisite: MAT 1093 or an equivalent course or satisfactory performance on a placement examination. | An introduction to the concepts of limit, continuity and derivative, mean value theorem, and applications of derivatives such as velocity, acceleration, maximization, and curve sketching; introduction to the Riemann integral and the fundamental theorem of calculus. (Credit can be earned for only one of the following: MAT 1214, MAT 1193, or MAT 1194.) May apply toward the Core Curriculum requirement in Mathematics.
