ANT | 1013 | Introduction to Anthropology | P | C | | Course content spans the study of human culture, past and present; its origins, development, and contemporary change; and the exploration of human physical and cultural differences using the paradigm of adaptation. This course fulfills all required learning objectives for the Social and Behavioral Sciences component of the core curriculum.
ANT | 2033 | Introduction to Biological Anthropology | P | C | | A comprehensive evaluation of human biological diversity and its origins. Topics include anatomy, genetics, primate biology, and the human fossil record. Students will gain critical understanding of key theoretical and methodological issues in this anthropological sub-discipline.  This course fulfills all required learning objectives for the Life and Physical Sciences component of the core curriculum. (Formerly titled &quot;Introduction to Physical Anthropology.&quot;).
ANT | 2043 | Introduction to Archaeology | P | C | | This course presents archaeological approaches to understanding human cultures of the past. Students receive instruction in general anthropological concepts and specific archaeological methods and theories. Particular case studies are presented to illustrate several aspects of archaeological practice, and to show how archaeologists develop their understandings of cultural variation and change. The course fulfills all required learning objectives for the Social and Behavioral Sciences component of the core curriculum.
ANT | 2053 | Introduction to Cultural Anthropology | P | C | | This course offers students the opportunity to examine cross-cultural variation in contemporary societies around the world in an anthropological context. It emphasizes ethnographic descriptions to highlight cultural variability in economics, social structures, and ideologies. The course fulfills all required learning objectives for the Social and Behavioral Sciences component of the core curriculum.
ANT | 2063 | Language, Thought, and Culture | P | C | | This course surveys anthropological approaches to the cross-cultural study of language, emphasizing linkages among language, expressive culture, systems of belief and value, and the production of cultural meaning. The effects of social context upon speech are examined as are relations of inequality and power that shape linguistic interaction. Instruction is also given in the fundamentals of descriptive linguistics. The course fulfills all required learning objectives for the Language, Philosophy, and Culture component of the core curriculum.
ANT | 3023 | Great Discoveries in Archaeology | P | C | | This course surveys some of the greatest discoveries made by archaeologists in the last 300 years. Specific archaeological sites and finds illustrate the process of archaeological interpretation, provide insight into past cultures, and help to show how the past influences the present. (Formerly ANT 1103. Credit cannot be earned for both ANT 3023 and ANT 1103.).
ANT | 3133 | Ritual and Symbol | P ANT 1013 ANT 2053 | C | Prerequisite: ANT 1013 or ANT 2053 recommended. | An examination of rituals—highly stereotyped, stylized, and repetitive acts usually taking place in carefully selected locations and marked by use of material items. Students will be offered a cross-cultural examination of ritual activity from various cultural regions. Attention is also given to the theoretical frames that contribute to a holistic understanding of ritual practice.
ANT | 3153 | Indians of the Great Plains | P ANT 1013 ANT 2053 | C | Prerequisite: ANT 1013 or ANT 2053 recommended. | An examination of the fundamental cultural transformation and flourishing of Native American societies of the Great Plains following the introduction of the horse. Attention is also given to the subsequent retrenchment under the imposition of Anglo-American dominance, and the recent emergence of new forms of cultural expression within tribal and urban areas.
ANT | 3203 | Native North Americans | P ANT 1013 ANT 2053 | C | Prerequisite: ANT 1013 or ANT 2053 recommended. | Survey of Native North American cultures from ancient times to the present. Emphasis will be placed on cultural responses to colonialism and European/American intrusion as well as contemporary issues confronting native North Americans in the present day.
ANT | 3223 | Anthropology and the Environment | P ANT 1013 ANT 2053 | C | Prerequisite: ANT 1013 or ANT 2053 recommended. | Human adaptation to the environment and interaction with it, comparing simple and complex societies in various environmental contexts. (Formerly titled “Cultural Ecology.�?).
ANT | 3233 | Frauds, Myths, and Mysteries | P | C | | This course will critically examine pseudoscience, cult archaeology, and creationism from a scientific perspective. The careful assessment of particular case studies will demonstrate how a strong adherence to professional archaeological methods can uncover facts about the past that are as interesting as myth.
ANT | 3253 | The Archeology of South America | P ANT 1013 ANT 2043 | C | Prerequisite: ANT 1013 or ANT 2043 recommended. | The origins and development of the native cultures of South America, and their relationships to the cultural areas of Central America and the Caribbean. Emphasis on the variety of cultural forms and cultural evolution. The roles of demography, subsistence systems, militarism, religion, and other factors in the rise of South American cultures may be discussed.
ANT | 3263 | Archaeology of North America | P ANT 1013 ANT 2043 | C | Prerequisite: ANT 1013 or ANT 2043 recommended. | Survey of prehistoric cultures in North America from earliest times to historic contact. May include discussion of Ice Age mammoth hunters, Eastern mound-building cultures, Southwestern pueblo cultures, and Plains bison hunters. Chronology, sites, settlement and subsistence patterns, and recent research issues may be considered.
ANT | 3273 | Civilizations of Mexico | P ANT 1013 ANT 2043 | C | Prerequisite: ANT 1013 or ANT 2043 recommended. | Examination of the development of the ancient civilizations of Mexico and Central America: Olmec, Teotihuacan, Toltec, Aztec, and Zapotec, among others. Insights will be drawn from archaeological data, art, hieroglyphic writing, ethnohistoric accounts, and Colonial Period documents. (Formerly titled “Ancient Civilizations of Mesoamerica.�?).
