DAN | 1013 | Ballet I | P | C
DAN | 1113 | Introduction to Modern Dance | P | C
DAN | 2003 | Introduction to Dance | P | C
DAN | 2013 | Ballet II | P | C
DAN | 2113 | Modern Dance II | P | C
DAN | 2213 | Jazz and Musical Theater Dance | P | C
DAN | 2783 | Topics in Dance | P | C
DAN | 3013 | Ballet III | P | C
DAN | 3103 | History of Dance | P | C
DAN | 3113 | Modern Dance III | P | C
MUS | 1102 | Aural Skills I | P | C
MUS | 1112 | Basic Skills of Music I | P | C
MUS | 1122 | Aural Skills II | P MUS 1102 | C
MUS | 1132 | Basic Skills of Music II | P MUS 1112 | C
MUS | 1141 | Beginning Composition | P MUS 1102 MUS 1112 | C
MUS | 1511 | Music Performance-Secondary Instrument | P | C
MUS | 1512 | Music Performance-Private Instruction | P | C
MUS | 1521 | Class Piano  | P | C
MUS | 1531 | Class Voice | P | C
MUS | 1542 | Music Performance-Private Instruction I | P MUS 1512 | C
MUS | 1552 | Functional Piano for Keyboard Principals | P | C
MUS | 1621 | Class Piano  | P MUS 1521 | C
MUS | 2001 | Concert Music | P | C
MUS | 2102 | Aural Skills III | P MUS 1122 | C
MUS | 2112 | Aural Skills IV | P MUS 2102 | C
MUS | 2122 | Aural Skills Review | P | C
MUS | 2132 | Introduction to Improvisation | P | C MUS 3771
MUS | 2141 | Composition II | P MUS 1102 MUS 1112 MUS 1141 | C
MUS | 2152 | Basic Skills of Music III | P MUS 1132 | C
MUS | 2162 | Basic Skills of Music IV | P MUS 2152 | C
MUS | 2183 | Jazz Skills | P MUS 1122 MUS 1132 | C
MUS | 2232 | Introduction to Guitar Literature | P | C
MUS | 2243 | World Music in Society | P | C
MUS | 2263 | Introduction to the Music Industry | P | C
MUS | 2273 | Introduction to Music Nonprofit Organizations | P | C
MUS | 2403 | Conducting I | P MUS 1132 | C
MUS | 2421 | Class Piano  | P MUS 1621 | C
MUS | 2501 | Accompanying | P | C
MUS | 2521 | Class Piano  | P MUS 2421 | C
MUS | 2542 | Music Performance-Private Instruction II | P MUS 1542 | C
MUS | 2601 | Diction Survey | P | C
MUS | 2603 | Beginning Guitar | P | C
MUS | 2613 | Intermediate Guitar | P MUS 2603 | C
MUS | 2623 | Fundamentals of Music for the Non-Music Major | P | C
MUS | 2633 | American Roots Music | P | C
MUS | 2663 | History and Styles of Jazz | P | C
MUS | 2673 | History and Styles of Rock | P | C
MUS | 2683 | Masterpieces of Music | P | C
MUS | 2693 | The Music of Latin America and the Caribbean | P | C
MUS | 2743 | Music and Film | P | C
MUS | 3013 | Digital Music Production | P | C
MUS | 3103 | Audio Technology I | P | C
MUS | 3113 | Tonal Analysis Review | P MUS 2162 | C
MUS | 3123 | Introduction to Electronic and Computer Music | P | C
MUS | 3133 | Analysis of Twentieth-Century Music | P MUS 2112 MUS 2162 | C
MUS | 3143 | Orchestration | P MUS 2112 MUS 2162 | C
MUS | 3153 | Conducting II | P MUS 2112 MUS 2162 MUS 2403 | C
MUS | 3162 | Composition III | P MUS 2112 MUS 2141 MUS 2162 | C
MUS | 3163 | Audio Technology II | P MUS 3103 | C
MUS | 3213 | Music in Civilization I | P MUS 2112 MUS 2162 | C
MUS | 3223 | Music in Civilization II | P MUS 2112 MUS 2162 | C
MUS | 3232 | Wind and Percussion Literature | P MUS 2112 MUS 2162 | C
MUS | 3242 | String Literature | P MUS 2112 MUS 2162 | C
MUS | 3252 | Topics in Music Literature | P MUS 2112 MUS 2162 | C
MUS | 3263 | Music Since  | P MUS 2112 MUS 2162 | C
MUS | 3272 | Choral Literature | P MUS 2112 MUS 2162 | C
MUS | 3282 | Vocal Literature | P MUS 2112 MUS 2162 | C
MUS | 3292 | Operatic Literature | P MUS 2112 MUS 2162 | C
MUS | 3312 | Music Technology for Music Educators | P | C
MUS | 3322 | Keyboard Literature | P MUS 2112 MUS 2162 | C
MUS | 3332 | Advanced Guitar Literature | P MUS 2112 MUS 2232 MUS 2162 | C
MUS | 3342 | Wind and Percussion Literature for Performance Majors | P MUS 2112 MUS 2162 | C
MUS | 3352 | String Literature for Performance Majors | P MUS 2112 MUS 2162 | C
MUS | 3401 | Brass Instruments | P MUS 1132 | C
