BIO | 1033 | Drugs and Society | P | C
BIO | 1053 | Introductory Microbiology | P BIO 1233 BIO 1404 | C
BIO | 1061 | Introductory Microbiology Laboratory | P BIO 1233 BIO 1404 | C BIO 1053
BIO | 1233 | Contemporary Biology I | P | C
BIO | 1243 | Contemporary Biology II | P | C
BIO | 1404 | Biosciences I | P | C STA 1053 MAT 1023 MAT 1033 MAT 1073
BIO | 1414 | Biosciences II | P BIO 1404 | C
BIO | 1511 | Biomedical Research as a Career | P | C
BIO | 1882 | Introduction to Health Professions | P | C
BIO | 2003 | Biology of Human Reproduction | P | C
BIO | 2043 | Nutrition | P BIO 1233 BIO 1404 | C
BIO | 2051 | Human Anatomy and Physiology Laboratory I | P BIO 1233 BIO 1404 | C BIO 2053
BIO | 2053 | Human Anatomy and Physiology I | P BIO 1233 BIO 1404 | C BIO 2051
BIO | 2061 | Human Anatomy and Physiology Laboratory II | P BIO 2051 | C BIO 2063
BIO | 2063 | Human Anatomy and Physiology II | P BIO 2053 | C BIO 2061
BIO | 2083 | Human Anatomy | P BIO 1233 BIO 1404 BIO 2103 BIO 2103 | C
BIO | 2091 | Human Anatomy Laboratory | P BIO 1233 BIO 1404 | C BIO 2083 BIO 2103 BIO 2103
BIO | 2103 | Human Physiology | P BIO 1233 BIO 1404 BIO 2083 BIO 2083 | C
BIO | 2111 | Human Physiology Laboratory | P BIO 1233 BIO 1404 | C BIO 2103 BIO 2083 BIO 2083
BIO | 2313 | Genetics | P BIO 1414 | C BIO 2322
BIO | 2322 | Genetics Laboratory | P BIO 1414 | C BIO 2313 MAT 1093 STA 1053
BIO | 3003 | Introduction to Marine Ecology | P BIO 1414 | C
BIO | 3013 | Introduction to Clinical Medicine and Pathology | P BIO 1404 | C
BIO | 3063 | Invertebrate Biology | P BIO 1414 | C
BIO | 3123 | Comparative Vertebrate Anatomy | P BIO 1414 | C BIO 3132
BIO | 3172 | Histology and Cytology Laboratory | P BIO 2313 | C BIO 3163
BIO | 3213 | Animal Behavior | P BIO 1414 | C
BIO | 3263 | The Woody Plants | P | C
BIO | 3273 | Biology of Flowering Plants | P | C
BIO | 3283 | Principles of Ecology | P BIO 1414 | C BIO 3292
BIO | 3292 | Principles of Ecology Laboratory | P BIO 1414 | C BIO 3283
BIO | 3323 | Evolution | P BIO 2313 | C
BIO | 3333 | Plants and Society | P BIO 2313 | C
